title|description|participants|submissions|year|phases|reward|reward_USD|duration_day|challenge|website|papers|winner's code|dataset|field of application|ML domain|real task|ML task|dataset size|dataset details|score|metrics|multi-score|multi-task|results submission|code submission|remark|utility
COCO Detection Challenge (Segmentation Mask)|The COCO Object Detection Task is designed to push the state of the art in object detection forward. COCO features two object detection tasks: using either bounding box output or object segmentation output (the latter is also known as instance segmentation).|996|5274.0|2019|3.0|0|0|363.0|https://competitions.codalab.org/competitions/20796|||None|https://cocodataset.org/#download||computer vision|object recognition|object detection using object segmentation output|||AP|Average Precision (AP),AP Across Scales, Average Recall (AR), AR Across Scales|True|False|True|False||[1.3968992248062018]
COCO Detection Challenge (Bounding Box)|The COCO Object Detection Task is designed to push the state of the art in object detection forward. COCO features two object detection tasks: using either bounding box output or object segmentation output (the latter is also known as instance segmentation).|2017|21677.0|2019|3.0|0|0|363.0|https://competitions.codalab.org/competitions/20794|||None|https://cocodataset.org/#download||computer vision|object recognition|object detection using bounding box output|||AP|Average Precision (AP),AP Across Scales, Average Recall (AR), AR Across Scales|True|False|True|False||[1.5308679474523499]
Feature Selection Challenge|post-challenge submissions on test data to benchmark new methods. The aim of the challenge in feature selection is to find feature selection algorithms that significantly outperform methods using all features, on ALL five benchmark datasets.|70|1972.0|2015|1.0|0|0||https://competitions.codalab.org/competitions/3931|http://web.archive.org/web/20130512034606/http://www.nipsfsc.ecs.soton.ac.uk/datasets||None|http://web.archive.org/web/20140602202553/http://www.nipsfsc.ecs.soton.ac.uk/papers/NIPS2003-Datasets.pdf|medicine|NLP|find feature selection algorithms that significantly outperform methods using all features, on ALL five benchmark datasets|binary classification, feature selecion||5 datasets: 9200 train examples, 2350 validation, 11800 test|< Rank >|BER, AUC, FP, FF|True|False|True|False||[0.0]
Microsoft COCO Image Captioning Challenge|The automatic generation of captions for images is a long-standing and challenging problem in artificial intelligence. To promote and measure the progress in this area, we carefully created the Microsoft Common objects in COntext (MS COCO) dataset to provide resources for training, validation, and testing of automatic image caption generation. Currently, the MS COCO 2014 dataset contains one million captions and over 160,000 images.|2081|4700.0|2015|1.0|0|0||https://competitions.codalab.org/competitions/3221|unaccessible website http://mscoco.org/|https://arxiv.org/abs/1504.00325|None|||computer vision|object recognition, annotation generation|automatic generation of captions for images|<1000000|one million captions and over 160,000 images (164K images split into training (83K), validation (41K) and test (41K) sets)|CIDEr-D c40|BLEU-1, BLEU-2, BLEU-3, BLEU-4, ROUGE-L, METEOR and CIDEr-D|True|False|True|False|https://github.com/tylin/coco-caption|[0.0]
Dialog State Tracking Challenge 4 (DSTC4)|Dialog state tracking is one of the key sub-tasks of dialog management, which defines the representation of dialog states and updates them at each moment on a given on-going conversation. In this fourth edition of the Dialog State Tracking Challenge, we will focus on a dialog state tracking task on human-human dialogs. In addition to this main task, we also propose a series of pilot tracks for the core components in developing end-to-end dialog systems based on the same dataset. We expect these shared efforts on human dialogs will contribute to progress in developing much more human-like systems.|25|51.0|2015|2.0|0|0|17.0|https://competitions.codalab.org/competitions/4971|https://colips.org/workshop/dstc4/index.html; https://www.microsoft.com/en-us/research/event/dialog-state-tracking-challenge/?from=http%3A%2F%2Fresearch.microsoft.com%2Fen-us%2Fevents%2Fdstc%2F|https://www.microsoft.com/en-us/research/wp-content/uploads/2016/06/dstc4_final-1.pdf|None||linguistics|NLP|dialog state tracking|dialogue generation||35 dialogs, 31034 utterances, 273580 words|Schedule 2 F-measure|Accuracy, Precision, Recall, F-measure|True|False|True|False||[0.0]
VQA Image Challenge|Given an image and a natural language question about the image, the task is to provide an accurate natural language answer. To promote and measure progress in this area, we have carefully created the VQA dataset of questions and answers about real images and abstract scenes. We also offer two versions of the task: open-ended and multiple-choice. Open-ended requires a system to produce a natural language answer, while multiple-choice only requires a system to pick an option out of the provided answers. This dataset partially builds on top of the recent Microsoft Common Objects in COntext (MSCOCO) dataset by using its images as part of the VQA dataset. In addition, it also builds a VQA dataset on top of a new collection of 50,000 abstract scenes (see the paper for more details).|530||2015|3.0|0|0|229.0|https://competitions.codalab.org/competitions/6961; https://competitions.codalab.org/competitions/6971; https://competitions.codalab.org/competitions/6991; https://competitions.codalab.org/competitions/6981|https://visualqa.org/|https://arxiv.org/pdf/1505.00468; https://visualqa.org/|None|||computer vision, NLP|open-ended questions about images (VQA: Visual Question Answering)|QA|204721 images, 50000 scenes|50,000 abstract scenes (20K trtain, 10K validation, 20K test set; ∼0.25M images, ∼0.76M questions, and ∼10M answers)|Overall|new evaluation metric which is robust to inter-human variability in phrasing the answers|False|True|True|False||[0.0, 0.0, 0.0, 0.0]
SemEval-2017 Task 2 Subtask 1, Multilingual Word Similarity|This is a competition on monolingual word similarity. Data available for English, Farsi, German, Italian and Spanish. The subtask is intended to test not only monolingual approaches but also multilingual and language-independent techniques. While monolingual approaches will be evaluated in their corresponding language datasets, multilingual and language-independent techniques will also be given a global score (see Evaluation for more details). We included Farsi as an under-resourced language from a different family in order to provide a framework for models that do not rely on many external tools and can be effectively applied to less-resourced languages.|35|44.0|2016|1.0|0|0|388.0|https://competitions.codalab.org/competitions/15961|https://alt.qcri.org/semeval2017/task2/; https://semeval.github.io/|https://aclanthology.org/S17-2002.pdf|None|https://alt.qcri.org/semeval2017/task2/index.php?id=data-and-tools|linguistics|NLP|word similarities|word embeddings||Five monolingual word similarity datasets of 500 word pairs each||Harmonic average of Pearson and Spearman correlation.|False|True|True|False||[0.0]
SemEval-2017 Task 2 Subtask 2, Cross-lingual Word Similarity|This is a competition on cross-lingual word similarity. Data available for ten language pairs, including all pairwise combinations of English, Farsi, German, Italian and Spanish. In the cross-lingual word similarity subtask each word pair is composed by words in different languages (e.g. building-habitación). This subtask is composed of ten cross-lingual word similarity datasets: EN-DE, EN-ES, EN-FA, EN-IT, DE-ES, DE-FA, DE-IT, ES-FA, ES-IT, and FA-IT. The subtask is intended to test bilingual and multilingual semantic representation techniques.|18|19.0|2016|1.0|0|0|388.0|https://competitions.codalab.org/competitions/15962|||None|https://alt.qcri.org/semeval2017/task2/index.php?id=data-and-tools|linguistics|NLP|word similarities|word embeddings||Ten cross-lingual word similarity datasets in the range of 750-1000 word pairs each.||Harmonic average of Pearson and Spearman correlation.|False|True|True|False||[0.0]
Word Sense Disambiguation, Unified Evaluation Framework|Word Sense Disambiguation is a longstanding task in Natural Language Processing, lying at the core of human language understanding. The task of Word Sense Disambiguation consists of associating words in context with the most suitable entry in a pre-defined sense inventory. Depending on their nature, WSD systems are divided into two main groups: supervised and knowledgebased. However, the evaluation of automatic systems has been problematic, mainly due to the lack of a reliable evaluation framework. In this paper we develop a unified evaluation framework and analyze the performance of various Word Sense Disambiguation systems in a fair setup. The results show that supervised systems clearly outperform knowledge-based models. Among the supervised systems, a linear classifier trained on conventional local features still proves to be a hard baseline to beat. Nonetheless, recent approaches exploiting neural networks on unlabeled corpora achieve promising results, surpassing this hard baseline in most test sets.|32|13.0|2016|1.0|0|0||https://competitions.codalab.org/competitions/15984|http://lcl.uniroma1.it/wsdeval/|http://lcl.uniroma1.it/wsdeval/data/EACL17_WSD_EvaluationFramework.pdf|None|http://lcl.uniroma1.it/wsdeval/|linguistics|NLP|word sense disambiguation|word sense disambiguation||five standard all-words Word Sense Disambiguation datasets|ALL|F-Measure (harmonic mean between precision and recall)|False|False|True|False||[0.0]
ChaLearn LAP 2016 - Track 1: Age Estimation|An extended version of the previous ICCV2015 challenge dataset. It contains 8,000 images each displaying a single individual, labeled with the apparent age. Each image has been labeled by multiple individuals, using a collaborative Facebook implementation and Amazon Mechanical Turk. The votes variance is used as a measure of the error for the predictions. This is the first state of the art database for Apparent Age Recognition rather than Real Age recognition.|231|308.0|2016|2.0|3000 USD|3000|50.0|https://competitions.codalab.org/competitions/7511|https://chalearnlap.cvc.uab.cat/challenge/13/track/13/description/||None|https://chalearnlap.cvc.uab.cat/login/?next=/dataset/19/data/29/files/||computer vision|age estimation/recognition|classification or regression problem|8000 images||Error|ERROR: http://sunai.uoc.edu/chalearnLAP/2015/EvalFormula.png|False|False|True|False||[0.0]
Lives : Learning with Multiple Views|This is a hackathon on multiview learning - part of the DAMVL workshop @ ECML 2019 - with a dataset from the field of developmental biology. Developmental biology is concerned with the study of how an embryo develops from a single fertilized cell into a complex and organized multicellular system. This process involves dynamics at multiple scales which are recorded using numerous acquisition techniques, from live movies using fluorescent reporter proteins to fixed samples in in situ hybridization and immunocytochemistry techniques. To study how cell fates are established by gene regulatory networks in Drosophila melanogaster embryogenesis, it has recently been proposed that a first necessary step is to integrate multiple views from eterogeneous image datasets. We focus on the dorso-ventral patterning in Drosophila melanogaster early development. We provide a dataset that gather together multiple snapshots (images of 128x128 pixels in single channel) acquired during the development of few subjects. Nuclei is referred to as view 0, it corresponds to the morphology ; protein expression of doubly phosophorylated ERK (dpERK is view 1) ; Twist (view 2) and Dorsal (view 4) ; and mRNA expression of ind (view 3) and rho (view 5). In total, the dataset consists in 255 instances of drosophila embryo during its development, featured into 6 views. There are missing data such that none of the instances has the entire 6 views. Examples of data are shown below. Once completing missing views, combining all together results in a colored sequence showing the five molecular components (views 1 to 5) during embryo development. One goal is to develop methods to predict such missing data, a first step in this direction is to predict one view from the others. We then formalize the given task as predicting view 1 given views 0, 2, 3, 4 and 5.|11|41.0|2016|1.0|0|0||https://competitions.codalab.org/competitions/21342|https://damvl.lis-lab.fr/||None|https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1005742|biology|computer vision||multiview regression||255 instances of drosophila embryo during its development, featured into 6 views|MSE|MSE|False|False|True|False||[0.0]
NEWS 2016 (Standard Submissions)|Transliteration is defined as phonetic translation of names across languages. Transliteration of Named Entities (NEs) is necessary in many applications, such as machine translation, corpus alignment, cross-language IR, information extraction and automatic lexicon acquisition. The tasks are to transliterate personal names or place names from a source to a target language. All such systems call for high-performance transliteration, which is the focus of shared task. The objective of the shared task is to promote machine transliteration research by providing a common benchmarking platform for the community to evaluate the state-of-the-art technologies.|25|255.0|2016|1.0|0|0|9.0|https://competitions.codalab.org/competitions/8991|http://workshop.colips.org/news2016/index.html|http://workshop.colips.org/news2016/documents/news2016whitepaper.pdf; https://aclanthology.org/W18-2413.pdf; https://aclanthology.org/C18-1053.pdf|None|http://workshop.colips.org/news2016/dataset.html; http://workshop.colips.org/news2016/documents/keynote_abstract.pdf|linguistics|NLP|neural machine translation, transliteration of named entities|machine translation||Five different datasets comprising a total of 14 different transliteration tasks|Accuracy|Word Accuracy in Top-1 (ACC), Fuzziness in Top-1 (Mean F-score), Mean Reciprocal Rank (MRR), Mean Average Precision (MAP)|True|True|True|False||[1.0]
ChaLearn LAP. Apparent Personality Analysis: First Impressions (first round)|As part of the speeds interviews project, we are organizing a challenge on “first impressions”, in which participants will develop solutions for recognizing personality traits of users in short video sequences. We are making available a large newly collected data set sponsored by Microsoft of 10,000 videos of about 15-seconds each collected from YouTube, annotated with personality traits by AMT workers. For each video sample, RGB and audio information are provided, as well as continuous ground-truth values for each of the 5 Big Five Traits.|294|425.0|2016|2.0|3000 USD|3000|59.0|https://competitions.codalab.org/competitions/9181|https://gesture.chalearn.org/2016-looking-at-people-eccv-workshop-challenge|https://www.researchgate.net/publication/309741759_ChaLearn_LAP_2016_First_Round_Challenge_on_First_Impressions_-Dataset_and_Results |https://tzzcl.github.io/papers/eccvw16_APA.pdf|||computer vision||classification|10000 videos|10,000 videos of about 15-seconds each|Accuracy|mean accuracy|False|False|True|False||[1.0462216133216125]
3D Face Alignment in the Wild Challenge|Face alignment – the problem of automatically locating detailed facial landmarks across different subjects, illuminations, and viewpoints – is critical to all face analysis applications, such as identification, facial expression and action unit analysis, and in many human computer interaction and multimedia applications. The most common approach is 2D alignment, which treats the face as a 2D object. This assumption holds as long as the face is frontal and planar. As face orientation varies from frontal, however, this assumption breaks down: 2D annotated points lose correspondence. Pose variation results in self occlusion that confounds landmark annotation. To enable alignment that is robust to head rotation and depth variation, 3D imaging and alignment has been explored. 3D alignment, however, requires special sensors for imaging or multiple images and controlled illumination. When these assumptions cannot be met, which is common, 3D alignment from 2D video or images has been proposed as a potential solution. This challenge addresses the increasing interest in 3D alignment from 2D images. 3DFAW Challenge evaluates 3D face alignment methods on a large, diverse corpora of multi-view face images annotated with 3D information.|106|200.0|2016|3.0|0|0|142.0|https://competitions.codalab.org/competitions/10261||https://www.laszlojeni.com/pub/articles/Jeni16_ECCV_3DFAW.pdf; participants: de B. Zavan, F.H., Nascimento, A.C.P., e Silva, L.P., Bellon, O.R.P., Silva, L.: 3d face alignment in the wild: A landmark-free, nose-based approach. In: 2016 European Conference on Computer Vision Workshops (ECCVW) (2016); [1] Gross, R., Matthews, I., Cohn, J., Kanade, T., and Baker, S. (2010). Multi-pie. Image and Vision Computing, 28(5), 807-813. [2] Zhang, X., Yin, L., Cohn, J. F., Canavan, S., Reale, M., Horowitz, A., Liu, P., and Girard, J. M. (2014). BP4D-Spontaneous: a high-resolution spontaneous 3D dynamic facial expression database. Image and Vision Computing, 32(10), 692-706. [3] Jeni, L. A., Cohn, J. F., and Kanade, T. (2015). Dense 3D face alignment from 2D videos in real-time. In Automatic Face and Gesture Recognition (FG), 2015 11th IEEE International Conference and Workshops on (Vol. 1, pp. 1-8). IEEE.|None|||computer vision|3D alignment from 2D images|image tranformation|23000 images|23,000 multi-view images from four sources (db: BU-4DFE [25], BP4D-Spontaneous [26], MultiPIE [11], and time-sliced videos from the internet)  together with 3D annotation|Prediction consistency (CVGTCE), %|Ground Truth Error - GTE, Cross View Ground Truth Consistency Error - CVGTCE|True|False|True|False||[0.0]
CIKM Cup 2016 Track 1: Cross-Device Entity Linking Challenge|building accurate user identity becomes a very difficult and important problem for advertising companies. The crucial task in this process is finding the same user across multiple devices and integrating her/his digital traces together to perform more accurate profiling.|185|1734.0|2016|2.0|5000 USD|5000|1522.0|https://competitions.codalab.org/competitions/11171||https://competitions.codalab.org/competitions/11171#learn_the_details-related_work; https://github.com/aduispace/CIKM-Cup-2016-Track-1-Cross-Device-Entity-Linking-Challenge/blob/master/CS249Report.pdf|https://github.com/aduispace/CIKM-Cup-2016-Track-1-Cross-Device-Entity-Linking-Challenge|https://drive.google.com/drive/folders/0B7XZSACQf0KdNXVIUXEyVGlBZnc?resourcekey=0-7ITozWjtDNvBHfTROIfxLg|online advertising|NLP|The participants have to predict new edges (identify the same user across multiple devices). finding the same user across multiple devices and integrating her/his digital traces together to perform more accurate profiling||721443 ground-truth pairs||Precision|F1 score|False|False|True|False||[1.9930425199210162]
CIKM Cup 2016 Track 2: Personalized E-Commerce Search Challenge|"The Personalized E-commerce Search Challenge provides a unique opportunity for academia and industry researchers to test new ideas for personalized e-commerce search and consolidate the approaches already published and described in existing work. The successful participation in the challenge implies solid knowledge of learning to rank, log mining, and search personalization algorithms, to name just a few. For the model development, we release a new dataset provided by DIGINETICA and its partners containing anonymized search and browsing logs, product data, anonymized transactions, and a large data set of product images. The participants have to predict search relevance of products according to the personal shopping, search, and browsing preferences of the users. Both ""query-less"" and ""query-full"" sessions are possible. The evaluation is based on click and transaction data."|205|800.0|2016|2.0|5000 USD|5000|1522.0|https://competitions.codalab.org/competitions/11161||||https://drive.google.com/drive/folders/0B7XZSACQf0KdXzZFS21DblRxQ3c?resourcekey=0-3k4O5YlwnZf0cNeTZ5Y_Uw|ecommerce|computer vision, NLP|predict relevance labels and re-rank products returned by an e-commerce search engine on the search engine result page (SERP) using (1) search, browsing, and transaction histories for all users and specifically the user interacting with the search engine in the current session; (2) product meta-data; (3) product images|ordinal regression|||SearchNDCG (query-full; textual queries) |NDCG (Normalized Discounted Cumulative Gain)|False|False|True|False||[1.5603975178463116]
The Large Scale Movie Description Challenge (LSMDC) 2017 : Movie Multiple-Choice Test|https://sites.google.com/site/describingmovies/previous-years/lsmdc-2016/moviedescription|29|42.0|2017|1.0|0|0||https://competitions.codalab.org/competitions/11491|https://sites.google.com/site/describingmovies/home|https://arxiv.org/abs/1809.07257|https://github.com/OSUPCVLab/VideoToTextDNN|https://sites.google.com/site/describingmovies/download|movies|computer vision|Given a video query and 5 captions, find the correct caption for the video among 5 possible choices|video captioning||1,970 open-domain video clips and over 85k English description sentences +  10k open-domain video clips that are described by 200k crowdsourced sentences + 1,880 videos with 3,760 sentences|ACCURACY |accuracy|False|False|True|False||[1.4017556442559558]
The Large Scale Movie Description Challenge (LSMDC) 2017 : Movie Retrieval|https://sites.google.com/site/describingmovies/previous-years/lsmdc-2016/movieretrieval|27|50.0|2017|1.0|0|0||https://competitions.codalab.org/competitions/11531||https://drive.google.com/file/d/1IrETp3nOzeOeCxXvAq81E7W-Ih1_21yo/view; https://drive.google.com/open?id=0B9nOObAFqKC9WmNDWWQ2NFEyWmM|None||movies|computer vision||movie description|||Recall@10|Recall@1, Recall@5, Recall@10, and Median Rank for video retrieval (given caption rank videos).|True|False|True|False||[1.6721491228070173]
The Large Scale Movie Description Challenge (LSMDC) 2017 : Movie Fill-in-the-Blank|https://sites.google.com/site/describingmovies/previous-years/lsmdc-2016/movie-fill-in-the-blank|16|52.0|2017|1.0|0|0||https://competitions.codalab.org/competitions/11691||https://arxiv.org/abs/1808.02559|None||movies|computer vision, NLP|Movie Fill-in-the-Blank||||Accuracy|accuracy |False|False|True|False||[1.8029993183367419]
SemEval 2017 Task 10 ScienceIE|Extracting Keyphrases and Relations from Scientific Publications|75|228.0|2016|2.0|None|None|152.0|https://competitions.codalab.org/competitions/15898|https://scienceie.github.io/||None|https://scienceie.github.io/resources.html|linguistics|NLP|Identification of keyphrases, Classification of identified keyphrases, Extraction of relationships between two identified keyphrases||500|500 journal articles|F1|precision, recall and F1-score|True|True|True|False||[0.0]
The Story Cloze Test|A challenge for evaluating a system's natural language and story understanding.|137|281.0|2016|3.0|None|None||https://competitions.codalab.org/competitions/15333|https://www.cs.rochester.edu/nlp/rocstories/|https://aclanthology.org/P18-2119/; https://arxiv.org/pdf/1604.01696v1.pdf|None|https://www.cs.rochester.edu/nlp/rocstories/|linguistics|NLP|sentence cloze|binary classification|||PercentageScore|accuracy|False|False|True|False||[1.2346496869989714]
Head pose challenge|The challenge is to build a system that would be able to estimate the head-pose using only depth information from a single Kinect 2 frame of a person sitting in front of a camera. Figure 3 shows an example of the database, where we show high variability in pitch, yaw, and roll values.|46|23.0|2017|2.0|None|None|58.0|https://competitions.codalab.org/competitions/15972|http://icv.tuit.ut.ee/fc2017||None|||computer vision|estimate the head-pose||||Difference|sum of average estimation errors for each angle picth, yaw and roll|False|False|True|False||[0.0]
ChaLearn LAP - Job Candidate Screening Coopetition|We propose a challenge on explainable computer vision and pattern recognition in first impressions, were the goal is to devise automated methods for deciding whether a job candidate has to be interviewed or not, starting from short video clips (see data description). In addition, solutions will have to “explain” why a given decision (either inviting or not) was taken.|88|231.0|2017|4.0|None|None|90.0|https://competitions.codalab.org/competitions/15975|https://gesture.chalearn.org/speed-interviews; https://chalearnlap.cvc.uab.cat/challenge/23/description/; https://gesture.chalearn.org/speed-interviews||None||HR|computer vision|automatic recommendations based on multi-media CVs (videos): predicting two types of variables (1) personality traits (context variables) and (2) whether a person should be invited to a job interview (decision variable)|regression|||interview|accuracy: mean accuracy along each dimension|True|True|True|False||[1.0171704310191718]
Syngenta AI Challenge - Harness data to help feed our rising population|The AI for Good Foundation, with support from Syngenta, is proud to present the Syngenta AI Challenge, a unique competition focused on bringing Artificial Intelligence (AI) tools to agriculture.|103|153.0|2017|4.0|13500 USD|13500|125.0|https://competitions.codalab.org/competitions/16194|https://www.ideaconnection.com/Syngenta-AI-Challenge/challenge.php||None|https://www.ideaconnection.com/Syngenta-AI-Challenge/datasets.php|agriculture|NLP|predict seed variety performance for the class of 2014|regression|||FMEASURE|F1-score, ACCURACY, MATHEWSCC, R2, VARSCORE|False|False|True|True||[2.164556962025316]
