submission_pk,User,b'Overall',b'J_seen',b'J_unseen',b'F_seen',b'F_unseen'
441692,wtf,0.800 (60),0.802 (57),0.733 (63),0.849 (56),0.816 (61),
389149,DJL,0.795 (61),0.787 (63),0.743 (57),0.829 (63),0.822 (58),
302656,qinliu,0.795 (62),0.820 (47),0.696 (69),0.873 (37),0.792 (66),
468696,opposj,0.793 (63),0.790 (62),0.733 (64),0.835 (61),0.813 (63),
404781,lisiyu,0.789 (64),0.780 (64),0.737 (61),0.823 (64),0.816 (60),
382542,wangchenxu,0.774 (65),0.777 (65),0.714 (65),0.819 (65),0.784 (68),
480506,lhn,0.773 (66),0.755 (70),0.736 (62),0.785 (71),0.814 (62),
382068,daniel-0301,0.770 (67),0.768 (68),0.708 (66),0.810 (68),0.794 (65),
342213,Yolanda890,0.768 (68),0.774 (66),0.705 (67),0.812 (67),0.782 (69),
354948,N1cC,0.760 (69),0.771 (67),0.688 (70),0.815 (66),0.767 (73),
405100,MasterBin-IIAU,0.755 (70),0.758 (69),0.699 (68),0.791 (70),0.774 (70),
353148,zhangxiaosong18,0.750 (71),0.747 (73),0.685 (71),0.798 (69),0.771 (72),
414226,icewater_qaq,0.726 (72),0.706 (77),0.676 (73),0.735 (77),0.788 (67),
245791,PGSmall,0.719 (73),0.703 (79),0.676 (72),0.724 (78),0.772 (71),
490287,fiskrt,0.717 (74),0.748 (71),0.630 (78),0.778 (72),0.711 (76),
418923,uzielr,0.715 (75),0.720 (75),0.662 (74),0.742 (76),0.737 (74),
317010,Salted_Fish1,0.712 (76),0.715 (76),0.657 (75),0.743 (75),0.734 (75),
455156,Merci2,0.706 (77),0.747 (72),0.618 (79),0.764 (74),0.693 (78),
381271,daniel34344,0.701 (78),0.730 (74),0.614 (81),0.769 (73),0.692 (79),
205837,junsang7777,0.686 (79),0.704 (78),0.630 (77),0.718 (79),0.693 (77),
491657,m43,0.678 (80),0.692 (80),0.635 (76),0.702 (80),0.682 (80),
444084,lihengtao,0.668 (81),0.689 (81),0.616 (80),0.700 (81),0.667 (81),
220385,radon,0.650 (82),0.662 (83),0.594 (82),0.684 (82),0.660 (82),
493482,shuidi,0.619 (83),0.648 (85),0.556 (84),0.663 (84),0.608 (84),
478140,kr,0.617 (84),0.617 (86),0.559 (83),0.660 (85),0.630 (83),
305901,mkg1204,0.596 (85),0.649 (84),0.513 (85),0.658 (86),0.566 (85),
215834,sabarim,0.590 (86),0.663 (82),0.496 (86),0.667 (83),0.533 (87),
479830,YWW221,0.541 (87),0.557 (88),0.469 (87),0.602 (89),0.535 (86),
444680,jw2yang,0.501 (88),0.573 (87),0.382 (92),0.614 (87),0.434 (91),
441363,xueyanzou,0.499 (89),0.556 (89),0.395 (90),0.606 (88),0.439 (90),
297096,marcelomendonca,0.486 (90),0.544 (90),0.443 (88),0.509 (91),0.447 (89),
242285,hjseong,0.455 (91),0.456 (93),0.423 (89),0.451 (92),0.491 (88),
275513,PinxueGuo,0.443 (92),0.526 (91),0.332 (93),0.549 (90),0.363 (93),
348670,jyhahaha,0.436 (93),0.501 (92),0.393 (91),0.449 (93),0.401 (92),
384896,z55668910,0.236 (94),0.302 (94),0.211 (94),0.226 (94),0.205 (94),
362230,bamboopu96,0.236 (94),0.302 (94),0.211 (94),0.226 (94),0.205 (94),
263679,junhaoLin,0.236 (94),0.302 (94),0.211 (94),0.226 (94),0.205 (94),
