submission_pk,User,b'mAP',b'AP50',b'AP75',b'AR1',b'AR10'
276248,wonjulee,0.570 (54),0.791 (58),0.631 (53),0.496 (60),0.604 (60),
328066,aayushjr,0.550 (59),0.789 (59),0.619 (56),0.518 (52),0.630 (57),
492332,qz96,0.549 (60),0.767 (60),0.607 (59),0.506 (56),0.634 (55),
493022,ksks,0.527 (65),0.764 (61),0.583 (63),0.481 (78),0.613 (59),
491977,ksks2,0.527 (65),0.764 (61),0.583 (63),0.481 (78),0.613 (59),
472969,jottue,0.524 (66),0.762 (62),0.580 (65),0.472 (92),0.602 (62),
392627,dignal_,0.533 (62),0.762 (63),0.592 (62),0.489 (67),0.597 (67),
490744,htong,0.521 (68),0.759 (64),0.578 (69),0.480 (81),0.601 (64),
482405,kagawa123,0.524 (67),0.757 (65),0.579 (68),0.470 (94),0.600 (65),
382085,daniel-0301,0.530 (63),0.755 (66),0.579 (67),0.486 (68),0.594 (70),
367099,valentineliesse,0.530 (64),0.755 (67),0.579 (67),0.486 (68),0.594 (72),
394458,leikel,0.472 (116),0.752 (68),0.494 (130),0.443 (130),0.561 (120),
263548,AtharvaPeshkar,0.500 (86),0.746 (69),0.533 (102),0.484 (73),0.592 (75),
258551,skybook,0.503 (84),0.746 (70),0.533 (101),0.485 (69),0.593 (73),
400061,zszh,0.500 (88),0.746 (71),0.529 (107),0.484 (73),0.592 (77),
473230,jottue2,0.513 (74),0.746 (72),0.558 (78),0.474 (88),0.582 (92),
193718,leaf1170124460,0.493 (99),0.745 (73),0.532 (103),0.477 (86),0.586 (89),
350262,otheraccount3,0.494 (96),0.744 (74),0.538 (95),0.460 (115),0.564 (116),
470543,paf,0.518 (70),0.743 (75),0.547 (85),0.496 (59),0.588 (80),
170911,manhkhanhad,0.496 (92),0.743 (76),0.545 (87),0.473 (91),0.584 (91),
374681,Kenkun,0.493 (100),0.742 (77),0.532 (104),0.477 (86),0.586 (88),
482859,xjtuwh,0.504 (81),0.741 (78),0.552 (81),0.491 (66),0.588 (81),
185900,Asaliya_,0.496 (90),0.741 (79),0.534 (100),0.474 (90),0.589 (79),
215650,bin_xie,0.493 (97),0.740 (80),0.528 (109),0.476 (87),0.587 (82),
487068,liuu,0.515 (72),0.738 (81),0.572 (70),0.484 (71),0.586 (84),
186053,NingYuanxiang,0.495 (93),0.736 (82),0.544 (89),0.465 (102),0.570 (106),
353818,l412198735,0.496 (91),0.734 (83),0.539 (94),0.481 (77),0.593 (74),
338388,HarborY,0.513 (73),0.734 (84),0.555 (80),0.478 (84),0.579 (97),
312553,Z_Zhang,0.487 (106),0.731 (85),0.539 (93),0.471 (93),0.579 (98),
471079,sadfhklj,0.519 (69),0.731 (86),0.580 (66),0.497 (58),0.596 (68),
433097,uuuuunnn,0.495 (94),0.731 (87),0.541 (91),0.463 (109),0.569 (107),
177558,hy523,0.492 (101),0.730 (88),0.549 (84),0.480 (82),0.586 (86),
164691,Merci2,0.489 (103),0.729 (89),0.535 (99),0.454 (122),0.566 (112),
383744,xinxin_new,0.493 (98),0.729 (90),0.545 (88),0.482 (75),0.585 (90),
225042,jhyunaa,0.516 (71),0.727 (91),0.582 (64),0.495 (61),0.594 (71),
361032,berry_,0.541 (61),0.726 (92),0.604 (60),0.514 (55),0.630 (56),
177618,jialianwu6,0.491 (102),0.723 (93),0.535 (98),0.463 (110),0.560 (121),
440959,ntphat,0.504 (80),0.722 (94),0.571 (71),0.474 (89),0.586 (83),
475704,kawawa,0.509 (76),0.720 (95),0.564 (73),0.493 (64),0.592 (76),
471247,paf1,0.488 (105),0.719 (96),0.537 (96),0.469 (98),0.568 (108),
251007,moga,0.501 (85),0.718 (97),0.561 (74),0.484 (70),0.590 (78),
362969,turkeyju,0.506 (77),0.717 (98),0.551 (82),0.493 (63),0.595 (69),
291407,PinxueGuo,0.483 (108),0.717 (99),0.515 (115),0.465 (105),0.567 (111),
491245,jottue3,0.483 (109),0.716 (100),0.530 (106),0.469 (97),0.574 (103),
172957,yknykn,0.503 (82),0.715 (101),0.561 (76),0.480 (80),0.579 (96),
343954,lws2020,0.506 (78),0.715 (102),0.545 (86),0.482 (76),0.579 (94),
215418,sft,0.484 (107),0.714 (103),0.537 (97),0.463 (108),0.577 (99),
281006,wyt10,0.464 (121),0.713 (104),0.510 (116),0.444 (128),0.526 (137),
462467,clozureyez,0.488 (104),0.713 (105),0.541 (90),0.462 (112),0.581 (93),
171615,haiduo,0.503 (83),0.713 (106),0.561 (75),0.480 (79),0.579 (95),
446226,coleworld,0.474 (115),0.710 (107),0.529 (108),0.461 (114),0.581 (93),
471652,baoxiaoyi,0.509 (75),0.710 (108),0.569 (72),0.491 (65),0.586 (87),
160091,lihan,0.475 (113),0.709 (109),0.515 (114),0.470 (95),0.575 (102),
182135,alexxxxx123,0.464 (124),0.708 (110),0.509 (117),0.452 (123),0.542 (129),
167493,higher_power,0.500 (87),0.707 (111),0.560 (77),0.477 (85),0.576 (101),
317212,KaijieHe,0.498 (89),0.707 (112),0.556 (79),0.478 (83),0.577 (100),
381408,Antinis,0.494 (95),0.706 (113),0.541 (92),0.484 (72),0.598 (66),
405718,whf2025,0.474 (114),0.705 (114),0.500 (126),0.447 (126),0.548 (127),
401277,grid,0.436 (137),0.704 (115),0.471 (136),0.429 (135),0.503 (149),
186727,YaoZhou,0.455 (131),0.704 (116),0.497 (129),0.460 (116),0.570 (105),
230302,yyyjjj,0.505 (79),0.703 (117),0.550 (83),0.450 (124),0.558 (122),
316379,dlsrbgg33,0.477 (111),0.700 (118),0.531 (105),0.494 (62),0.586 (85),
281180,fly7777,0.480 (110),0.700 (119),0.516 (113),0.467 (99),0.555 (124),
256516,whf2022,0.476 (112),0.700 (120),0.501 (121),0.462 (111),0.550 (126),
443619,grid.,0.436 (139),0.697 (121),0.456 (140),0.430 (132),0.532 (134),
159736,tomorrow,0.466 (117),0.696 (122),0.516 (112),0.466 (100),0.567 (110),
445861,wzou,0.464 (119),0.693 (123),0.501 (120),0.465 (103),0.565 (113),
185616,GuMingDiaoYu,0.464 (125),0.692 (124),0.500 (125),0.464 (106),0.564 (114),
311021,jiyeonkim,0.464 (122),0.692 (125),0.501 (122),0.449 (125),0.542 (130),
209117,lanxinyue,0.463 (126),0.692 (126),0.500 (124),0.465 (104),0.564 (117),
181713,janaz,0.464 (120),0.692 (127),0.500 (123),0.465 (101),0.564 (115),
191439,t.kim.,0.466 (118),0.691 (128),0.520 (110),0.469 (96),0.563 (119),
320075,Frandalf,0.464 (123),0.690 (129),0.499 (127),0.455 (120),0.567 (109),
443241,gridzz,0.436 (138),0.687 (130),0.466 (138),0.429 (133),0.532 (133),
367119,lkeab,0.421 (141),0.686 (131),0.447 (141),0.415 (145),0.519 (141),
173472,sabarim,0.456 (130),0.685 (132),0.494 (132),0.462 (113),0.573 (104),
448735,zhaowangbo,0.461 (127),0.683 (133),0.484 (133),0.457 (119),0.538 (131),
220350,anwesac2,0.457 (129),0.677 (134),0.494 (131),0.458 (118),0.556 (123),
253852,xdwang-ucb,0.441 (135),0.674 (135),0.477 (134),0.459 (117),0.564 (118),
314558,wshduadja,0.451 (133),0.670 (136),0.507 (119),0.454 (121),0.544 (128),
367193,lkeab11,0.414 (144),0.669 (137),0.443 (145),0.419 (143),0.518 (143),
170959,gaseooo,0.459 (128),0.667 (138),0.517 (111),0.464 (107),0.555 (125),
400823,whf2024,0.453 (132),0.667 (139),0.507 (118),0.445 (127),0.538 (132),
397864,whf2023,0.445 (134),0.665 (140),0.498 (128),0.443 (129),0.513 (145),
443976,grid..,0.425 (140),0.660 (141),0.469 (137),0.425 (138),0.523 (138),
178658,JPT,0.438 (136),0.654 (142),0.477 (135),0.424 (140),0.527 (136),
374857,nanle,0.407 (147),0.640 (143),0.437 (149),0.408 (146),0.502 (151),
222222,icj_track,0.405 (149),0.640 (144),0.441 (147),0.427 (136),0.500 (152),
461814,STFormer,0.418 (142),0.637 (145),0.446 (143),0.397 (148),0.517 (144),
167438,JaehyunKang,0.416 (143),0.632 (146),0.456 (139),0.436 (131),0.530 (135),
193538,lennonAmherst,0.375 (156),0.630 (147),0.372 (184),0.365 (157),0.448 (160),
340375,ychen404,0.411 (145),0.628 (148),0.446 (142),0.425 (139),0.518 (142),
165428,zyw,0.411 (146),0.628 (148),0.446 (142),0.425 (139),0.518 (142),
344992,DeshuiMiao,0.397 (150),0.615 (149),0.416 (151),0.405 (147),0.483 (154),
493465,wjn922,0.368 (165),0.608 (150),0.391 (170),0.358 (169),0.438 (167),
403196,phdfar5,0.367 (167),0.597 (151),0.377 (179),0.358 (167),0.447 (161),
459212,aquzdeep,0.371 (162),0.594 (152),0.400 (161),0.350 (176),0.423 (180),
417772,ccvcjl,0.406 (148),0.590 (153),0.442 (146),0.429 (134),0.511 (146),
321812,HyunJinChun,0.372 (159),0.588 (154),0.387 (173),0.389 (151),0.442 (162),
457976,n-alain,0.362 (173),0.587 (155),0.410 (154),0.371 (156),0.452 (157),
235828,phdfar,0.367 (168),0.586 (156),0.399 (163),0.346 (179),0.425 (179),
291810,Ach,0.395 (151),0.586 (157),0.432 (150),0.417 (144),0.522 (139),
192125,wanghc,0.386 (153),0.584 (158),0.410 (155),0.426 (137),0.520 (140),
409874,phdfar2,0.371 (161),0.583 (159),0.407 (157),0.377 (154),0.502 (150),
477830,eldap,0.364 (171),0.582 (160),0.378 (178),0.365 (159),0.431 (173),
463676,penjatanaye,0.356 (181),0.582 (161),0.371 (185),0.353 (173),0.429 (174),
476758,soviet,0.361 (175),0.581 (162),0.382 (175),0.358 (168),0.435 (168),
403180,phdfar8,0.368 (164),0.581 (163),0.400 (162),0.363 (161),0.448 (159),
454433,Cyn,0.354 (184),0.581 (164),0.359 (186),0.363 (162),0.432 (170),
454227,Cynthiacode,0.359 (178),0.581 (165),0.379 (177),0.374 (155),0.439 (164),
365451,kuantuna,0.381 (155),0.580 (166),0.416 (152),0.391 (150),0.475 (155),
312059,zhengbing_bian,0.369 (163),0.579 (167),0.411 (153),0.363 (163),0.438 (166),
454510,phdfar6,0.372 (160),0.576 (168),0.394 (166),0.357 (171),0.431 (172),
463668,hoshangekhali,0.355 (183),0.575 (169),0.376 (181),0.351 (175),0.420 (181),
476762,shapopr,0.358 (180),0.574 (170),0.389 (171),0.360 (164),0.439 (165),
478793,khakhermar,0.358 (179),0.572 (171),0.380 (176),0.353 (174),0.428 (175),
455093,phdfar3,0.366 (169),0.572 (172),0.392 (167),0.363 (160),0.432 (169),
158508,jgyttyu,0.391 (152),0.572 (173),0.443 (144),0.365 (158),0.432 (171),
454524,phdfar7,0.368 (166),0.570 (174),0.402 (158),0.358 (166),0.427 (176),
362358,Ws_Syx,0.361 (174),0.566 (175),0.397 (164),0.355 (172),0.425 (178),
390220,SoyunChoi,0.386 (154),0.563 (176),0.437 (148),0.357 (170),0.425 (177),
365222,jefiwoptest,0.361 (176),0.558 (177),0.374 (182),0.381 (152),0.485 (153),
455120,phdfar4,0.363 (172),0.558 (178),0.396 (165),0.349 (177),0.416 (184),
176946,asdas,0.347 (186),0.556 (179),0.387 (172),0.346 (181),0.416 (183),
158452,yaoxin2022,0.372 (158),0.556 (180),0.409 (156),0.347 (178),0.412 (186),
400189,Sandy,0.360 (177),0.555 (181),0.391 (168),0.342 (182),0.420 (182),
185404,jai04,0.373 (157),0.555 (182),0.401 (159),0.420 (142),0.504 (148),
449194,Mo,0.355 (182),0.547 (183),0.391 (169),0.359 (165),0.452 (158),
402766,sunyuxiao,0.345 (187),0.542 (184),0.377 (180),0.346 (180),0.413 (185),
379737,camluyumlitest,0.364 (170),0.537 (185),0.400 (160),0.393 (149),0.505 (147),
368975,xulin,0.308 (190),0.530 (186),0.329 (188),0.314 (189),0.382 (191),
490396,meldaeksi,0.302 (194),0.524 (187),0.313 (194),0.324 (186),0.378 (193),
441980,beiyannangui,0.323 (189),0.518 (188),0.342 (187),0.338 (183),0.405 (187),
168318,daitaoxing,0.348 (185),0.518 (189),0.382 (174),0.325 (185),0.386 (190),
467553,chuwenhsuan,0.303 (193),0.516 (190),0.322 (191),0.306 (191),0.355 (195),
188897,Orekishiro,0.303 (193),0.516 (190),0.322 (191),0.306 (191),0.355 (195),
215278,dutcsj,0.304 (191),0.506 (191),0.326 (189),0.335 (184),0.398 (188),
342991,amahrek,0.303 (192),0.504 (192),0.318 (192),0.319 (187),0.380 (192),
356714,SuDeqian,0.302 (195),0.500 (193),0.318 (193),0.318 (188),0.378 (194),
177792,cscoban,0.284 (197),0.480 (194),0.283 (195),0.296 (192),0.345 (196),
459531,lsh5688,0.342 (188),0.474 (195),0.374 (183),0.420 (141),0.469 (156),
335479,xdwang-ucb-2,0.299 (196),0.468 (196),0.325 (190),0.377 (153),0.440 (163),
438878,umzhaa,0.255 (198),0.436 (197),0.269 (196),0.289 (193),0.332 (197),
462829,ssogand,0.205 (199),0.356 (198),0.211 (197),0.227 (194),0.271 (198),
310068,shehan.m,0.020 (202),0.091 (199),0.000 (201),0.028 (196),0.030 (200),
490219,jiney,0.042 (200),0.059 (200),0.044 (198),0.109 (195),0.121 (199),
448757,biubiubiubiu,0.032 (201),0.042 (201),0.037 (199),0.308 (190),0.396 (189),
476108,youngf,0.007 (203),0.013 (202),0.008 (200),0.008 (197),0.010 (201),
