submission_pk,User,b'Accuracy',b'Species1 F1 Score',b'Species2 F1 Score',b'Species3 F1 Score',b'Species4 F1 Score',b'Species5 F1 Score',b'Species6 F1 Score',b'Species7 F1 Score',b'Species8 F1 Score'
248936,yassine.ouahidi,0.9038 (33),0.7734 (65),0.9169 (34),0.9613 (31),0.9278 (12),0.9274 (56),0.9253 (75),0.9695 (45),0.8275 (77),
249541,alessandroo,0.9024 (34),0.7470 (120),0.9179 (33),0.9494 (71),0.8996 (52),0.9284 (51),0.9466 (17),0.9828 (10),0.8351 (65),
248709,leonardolonghi,0.9021 (35),0.7697 (72),0.9074 (57),0.9643 (21),0.9133 (26),0.9362 (26),0.9262 (73),0.9673 (55),0.8296 (73),
248038,LorenzoTrev,0.9018 (36),0.8176 (22),0.8996 (79),0.9532 (55),0.8851 (98),0.9288 (49),0.9443 (22),0.9406 (178),0.8448 (43),
248140,Giuseppe_Urso,0.9018 (36),0.8176 (22),0.8996 (79),0.9532 (55),0.8851 (98),0.9288 (49),0.9443 (22),0.9406 (178),0.8448 (43),
247966,Stefuma99,0.9014 (37),0.7892 (41),0.8983 (84),0.9459 (85),0.8937 (74),0.9288 (48),0.9427 (28),0.9648 (71),0.8434 (45),
247876,xegoniccolo,0.9011 (38),0.7675 (74),0.8999 (76),0.9725 (7),0.9123 (27),0.9342 (31),0.9316 (60),0.9624 (82),0.8272 (78),
248575,unberto,0.9011 (38),0.8125 (24),0.9098 (51),0.9431 (99),0.8934 (76),0.9076 (115),0.9211 (95),0.9735 (34),0.8479 (38),
247724,AlexRouge,0.9007 (39),0.7508 (113),0.8911 (104),0.9605 (34),0.8973 (61),0.9335 (33),0.9584 (4),0.9610 (90),0.8398 (50),
249556,SimoneMezzaro,0.9007 (39),0.7576 (99),0.9093 (53),0.9501 (67),0.8982 (55),0.9300 (44),0.9388 (37),0.9712 (37),0.8381 (55),
248082,salvatore_buono,0.9004 (40),0.7168 (170),0.9199 (28),0.9545 (49),0.9008 (50),0.9421 (18),0.9446 (21),0.9855 (5),0.8211 (100),
249222,andrea_moschetti,0.9001 (41),0.8097 (27),0.9194 (30),0.9418 (104),0.8564 (196),0.8952 (179),0.9387 (38),0.9842 (7),0.8521 (31),
247454,Rick8399,0.8997 (42),0.7911 (39),0.9054 (63),0.9637 (23),0.8924 (82),0.9288 (48),0.9218 (92),0.9702 (41),0.8268 (79),
249048,silviam3108,0.8987 (43),0.7849 (46),0.9107 (48),0.9520 (59),0.8886 (88),0.9101 (106),0.9351 (51),0.9816 (11),0.8207 (104),
248568,Br1,0.8980 (44),0.7775 (59),0.9125 (44),0.9468 (80),0.9053 (39),0.9260 (59),0.9276 (69),0.9595 (99),0.8333 (69),
248642,Pelle,0.8980 (44),0.7796 (57),0.9120 (45),0.9481 (76),0.9036 (44),0.9260 (59),0.9242 (80),0.9581 (103),0.8398 (51),
248798,axelitama,0.8980 (44),0.7643 (79),0.9082 (55),0.9657 (19),0.8932 (78),0.9278 (53),0.9185 (105),0.9723 (36),0.8277 (76),
249108,Tommaso_Capacci,0.8980 (44),0.7549 (105),0.8923 (99),0.9667 (18),0.8675 (158),0.9311 (38),0.9381 (42),0.9764 (23),0.8500 (33),
247789,ItsAcol,0.8973 (45),0.7585 (93),0.8956 (92),0.9672 (16),0.8974 (60),0.9326 (35),0.9283 (66),0.9738 (32),0.8209 (103),
248681,marven,0.8970 (46),0.7632 (80),0.9143 (37),0.9587 (39),0.8838 (103),0.9111 (102),0.9380 (43),0.9761 (25),0.8244 (86),
248175,MelideCrippa,0.8967 (47),0.7584 (95),0.8917 (103),0.9608 (33),0.8843 (101),0.9306 (42),0.9247 (78),0.9662 (61),0.8424 (48),
248101,Marcy,0.8963 (48),0.7623 (82),0.9126 (43),0.9398 (110),0.9061 (37),0.9216 (69),0.9350 (52),0.9700 (42),0.8123 (124),
248813,MatSabels21,0.8963 (48),0.7960 (36),0.9091 (54),0.9436 (96),0.8877 (92),0.9167 (84),0.9176 (110),0.9672 (56),0.8294 (74),
249006,marcotonnarelli,0.8963 (48),0.7667 (75),0.9130 (41),0.9382 (121),0.9047 (41),0.9174 (81),0.9273 (70),0.9726 (35),0.8203 (106),
249504,FrancescoMinnucci,0.8963 (48),0.8006 (32),0.9093 (52),0.9457 (87),0.8666 (162),0.9000 (153),0.9385 (39),0.9625 (81),0.8393 (52),
249532,Mapo,0.8963 (48),0.7817 (52),0.9272 (18),0.9454 (88),0.8598 (185),0.9053 (122),0.9318 (59),0.9764 (23),0.8344 (67),
249535,onur,0.8963 (48),0.7907 (40),0.8663 (176),0.9519 (60),0.9120 (29),0.9181 (79),0.8988 (175),0.9677 (53),0.8579 (24),
248225,Erika,0.8956 (49),0.7704 (70),0.9190 (31),0.9437 (95),0.8737 (141),0.9140 (93),0.9284 (65),0.9583 (102),0.8465 (40),
247691,GalPier.99,0.8953 (50),0.7613 (86),0.9033 (70),0.9549 (47),0.8997 (51),0.9285 (50),0.9231 (86),0.9585 (101),0.8241 (88),
249575,MicheleGuerrini,0.8953 (50),0.7613 (86),0.9033 (70),0.9549 (47),0.8997 (51),0.9285 (50),0.9231 (86),0.9585 (101),0.8241 (88),
248938,MatteoNunziante,0.8946 (51),0.7190 (167),0.9010 (74),0.9655 (20),0.8962 (65),0.9243 (61),0.9493 (10),0.9764 (24),0.8096 (131),
247380,MatteCarra,0.8939 (52),0.7656 (77),0.8909 (105),0.9531 (56),0.8810 (111),0.9131 (95),0.9219 (91),0.9650 (69),0.8522 (30),
247615,mattia.siriani,0.8936 (53),0.7848 (47),0.9119 (46),0.9330 (147),0.8835 (105),0.9048 (127),0.9320 (58),0.9573 (107),0.8336 (68),
247347,Matteo_Venturelli,0.8936 (53),0.7757 (62),0.8785 (142),0.9545 (50),0.8842 (102),0.9354 (27),0.9152 (121),0.9621 (85),0.8380 (56),
248620,Emiliano,0.8936 (53),0.7683 (73),0.9137 (38),0.9466 (81),0.8985 (54),0.9243 (61),0.9175 (112),0.9581 (103),0.8359 (62),
248830,Jean-Louis,0.8936 (53),0.7726 (67),0.8774 (146),0.9635 (24),0.8745 (138),0.9241 (63),0.9217 (93),0.9673 (55),0.8377 (57),
248004,Julidan,0.8929 (54),0.7384 (134),0.9036 (69),0.9547 (48),0.9091 (32),0.9233 (66),0.9184 (106),0.9711 (38),0.8139 (120),
247654,Davide_Rigamonti,0.8926 (55),0.7547 (106),0.9047 (67),0.9466 (81),0.9031 (46),0.9156 (88),0.9197 (100),0.9685 (50),0.8204 (105),
247760,viols,0.8926 (55),0.7606 (90),0.9072 (59),0.9547 (48),0.8803 (114),0.9081 (112),0.9196 (101),0.9607 (91),0.8375 (59),
248195,filippolazzati,0.8926 (55),0.7331 (142),0.8987 (82),0.9602 (36),0.8959 (66),0.9171 (82),0.9469 (16),0.9764 (24),0.8015 (154),
249112,raul_singh,0.8926 (55),0.7547 (106),0.9047 (67),0.9466 (81),0.9031 (46),0.9156 (88),0.9197 (100),0.9685 (50),0.8204 (105),
249382,chris54721,0.8926 (55),0.7381 (135),0.8889 (109),0.9547 (48),0.8930 (79),0.9199 (72),0.9357 (49),0.9750 (28),0.8237 (89),
249252,Tricks,0.8923 (56),0.8040 (30),0.8827 (126),0.9335 (142),0.8742 (139),0.8878 (206),0.9472 (15),0.9456 (150),0.8588 (22),
247501,teobucci,0.8916 (57),0.7024 (203),0.9112 (47),0.9626 (27),0.8759 (135),0.9350 (28),0.9313 (61),0.9737 (33),0.8222 (95),
247725,SimoneGiampa,0.8916 (57),0.7412 (126),0.8878 (115),0.9629 (26),0.8676 (157),0.9273 (57),0.9251 (76),0.9738 (32),0.8355 (64),
249239,andreasanchini,0.8916 (57),0.7444 (124),0.8994 (81),0.9453 (90),0.8947 (70),0.9216 (69),0.9233 (84),0.9659 (64),0.8249 (84),
249395,matteocitterio,0.8912 (58),0.7504 (114),0.9268 (19),0.9424 (103),0.8568 (195),0.8949 (182),0.9193 (102),0.9800 (13),0.8483 (36),
249558,LucaMolteni,0.8912 (58),0.7620 (84),0.8943 (95),0.9507 (66),0.8837 (104),0.9109 (103),0.9233 (84),0.9749 (29),0.8243 (87),
249592,claudiucsm,0.8912 (58),0.7658 (76),0.9158 (35),0.9490 (73),0.8638 (172),0.9017 (144),0.9341 (56),0.9739 (31),0.8198 (107),
248192,Stefano-Civelli,0.8909 (59),0.7500 (115),0.8979 (87),0.9588 (38),0.8755 (136),0.9185 (77),0.9104 (139),0.9707 (39),0.8373 (60),
247967,Lara,0.8909 (59),0.7572 (101),0.8997 (78),0.9534 (54),0.8957 (67),0.9314 (37),0.9155 (120),0.9503 (132),0.8163 (116),
248915,FedericoCamilletti,0.8909 (59),0.7889 (42),0.8919 (101),0.9354 (131),0.8730 (144),0.8942 (185),0.9427 (28),0.9385 (197),0.8556 (29),
248967,federica_baracchi,0.8909 (59),0.7889 (42),0.8919 (101),0.9354 (131),0.8730 (144),0.8942 (185),0.9427 (28),0.9385 (197),0.8556 (29),
247586,leoli51,0.8906 (60),0.7827 (50),0.9182 (32),0.9142 (227),0.8778 (125),0.8794 (225),0.9343 (55),0.9700 (42),0.8375 (58),
248565,nicodv,0.8902 (61),0.7856 (45),0.8929 (98),0.9261 (185),0.8981 (56),0.9003 (150),0.9222 (89),0.9686 (49),0.8210 (101),
248873,gabrielegine,0.8902 (61),0.7427 (125),0.8803 (135),0.9604 (35),0.8763 (131),0.9324 (36),0.9313 (61),0.9635 (76),0.8234 (90),
249306,VittorioAndreotti,0.8899 (62),0.7233 (162),0.9074 (58),0.9309 (156),0.8869 (93),0.9182 (78),0.9460 (18),0.9598 (98),0.8267 (80),
249547,aletierno,0.8899 (62),0.7064 (195),0.9075 (56),0.9394 (112),0.8938 (73),0.9159 (87),0.9345 (54),0.9775 (20),0.8225 (93),
248137,francesco.leone,0.8895 (63),0.7560 (103),0.8880 (113),0.9641 (22),0.8535 (204),0.9129 (96),0.9249 (77),0.9649 (70),0.8430 (47),
248611,PietroCirino,0.8892 (64),0.7608 (89),0.8789 (140),0.9498 (68),0.9067 (35),0.9310 (40),0.9295 (63),0.9698 (44),0.7965 (166),
247734,riccardoluigi.aielli,0.8885 (65),0.7519 (112),0.8903 (106),0.9582 (40),0.8697 (152),0.9169 (83),0.9279 (68),0.9649 (70),0.8173 (114),
249084,kodai,0.8882 (66),0.7611 (87),0.8941 (96),0.9510 (64),0.8771 (127),0.9166 (85),0.9287 (64),0.9601 (96),0.8130 (122),
247472,miah,0.8878 (67),0.7624 (81),0.8946 (94),0.9492 (72),0.8945 (71),0.9128 (97),0.9031 (165),0.9570 (109),0.8257 (82),
248202,AliceBrugnoli,0.8878 (67),0.7773 (60),0.8997 (77),0.9287 (174),0.8804 (112),0.8960 (172),0.9172 (114),0.9617 (86),0.8349 (66),
248504,lorenzo.iovine,0.8878 (67),0.7874 (43),0.8805 (134),0.9466 (81),0.8518 (207),0.9166 (85),0.9102 (141),0.9674 (54),0.8371 (61),
247828,Flavio,0.8872 (68),0.7675 (74),0.8809 (132),0.9439 (94),0.8827 (107),0.9061 (121),0.9233 (84),0.9605 (93),0.8298 (72),
248824,adrianoracano,0.8872 (68),0.7967 (35),0.8918 (102),0.9241 (194),0.8760 (134),0.8929 (194),0.9213 (94),0.9625 (81),0.8258 (81),
249169,N_PETKOVIC,0.8861 (69),0.7537 (107),0.8822 (128),0.9486 (75),0.8763 (130),0.9051 (123),0.9316 (60),0.9565 (110),0.8227 (92),
249100,stefanofossati,0.8858 (70),0.7547 (106),0.8965 (90),0.9284 (178),0.8852 (97),0.9105 (105),0.9096 (143),0.9643 (73),0.8296 (73),
248570,nicolo.fasulo,0.8855 (71),0.6862 (223),0.8883 (112),0.9495 (69),0.9043 (42),0.9375 (23),0.9055 (152),0.9699 (43),0.8121 (126),
249067,Tommaso_Aiello,0.8855 (71),0.6862 (223),0.8883 (112),0.9495 (69),0.9043 (42),0.9375 (23),0.9055 (152),0.9699 (43),0.8121 (126),
249216,chiara_magri,0.8855 (71),0.7597 (91),0.8903 (106),0.9428 (101),0.8940 (72),0.9007 (149),0.9167 (117),0.9656 (67),0.8065 (138),
248040,RizzoMarco,0.8851 (72),0.7584 (94),0.8898 (107),0.9361 (128),0.8858 (95),0.9153 (89),0.9353 (50),0.9558 (112),0.8137 (121),
247600,EleonoraTagarelli,0.8851 (72),0.7864 (44),0.8987 (83),0.9425 (102),0.8642 (170),0.8768 (234),0.9358 (48),0.9248 (252),0.8435 (44),
247873,silvia_caresana,0.8851 (72),0.7165 (171),0.9069 (61),0.9469 (79),0.8828 (106),0.9077 (113),0.9347 (53),0.9541 (116),0.8152 (118),
249295,DianaNigrisoli,0.8851 (72),0.7623 (83),0.8855 (122),0.9461 (83),0.9008 (49),0.8985 (159),0.9012 (169),0.9616 (87),0.8217 (98),
248185,ubersandro_,0.8848 (73),0.7725 (68),0.8849 (123),0.9429 (100),0.8773 (126),0.9030 (137),0.9205 (98),0.9492 (136),0.8277 (76),
249136,staiano99,0.8848 (73),0.7725 (68),0.8849 (123),0.9429 (100),0.8773 (126),0.9030 (137),0.9205 (98),0.9492 (136),0.8277 (76),
249323,ClaudioGalimberti,0.8848 (73),0.7725 (68),0.8849 (123),0.9429 (100),0.8773 (126),0.9030 (137),0.9205 (98),0.9492 (136),0.8277 (76),
248255,Jaskaran,0.8844 (74),0.7609 (88),0.8761 (149),0.9471 (78),0.8769 (128),0.9018 (142),0.9222 (90),0.9617 (86),0.8251 (83),
249432,MahsaMeymari,0.8841 (75),0.7084 (190),0.9003 (75),0.9486 (75),0.8965 (63),0.9278 (52),0.9145 (122),0.9603 (94),0.8015 (155),
249453,AlirezaTaban,0.8841 (75),0.7084 (190),0.9003 (75),0.9486 (75),0.8965 (63),0.9278 (52),0.9145 (122),0.9603 (94),0.8015 (155),
249455,NavidF,0.8841 (75),0.7084 (190),0.9003 (75),0.9486 (75),0.8965 (63),0.9278 (52),0.9145 (122),0.9603 (94),0.8015 (155),
248637,LauraPozzi,0.8838 (76),0.7152 (176),0.8792 (137),0.9507 (66),0.9040 (43),0.9144 (92),0.9096 (144),0.9668 (59),0.8188 (112),
249584,achgls,0.8834 (77),0.7243 (159),0.8880 (114),0.9588 (38),0.8928 (81),0.9330 (34),0.9157 (119),0.9460 (149),0.8015 (153),
247542,romcruise,0.8831 (78),0.7704 (71),0.8871 (119),0.9292 (171),0.8629 (176),0.8980 (163),0.9222 (88),0.9632 (78),0.8257 (82),
247879,nciola,0.8831 (78),0.7704 (71),0.8871 (119),0.9292 (171),0.8629 (176),0.8980 (163),0.9222 (88),0.9632 (78),0.8257 (82),
248003,DecisionTree,0.8831 (78),0.7704 (71),0.8871 (119),0.9292 (171),0.8629 (176),0.8980 (163),0.9222 (88),0.9632 (78),0.8257 (82),
249401,Dubino,0.8831 (78),0.7083 (191),0.8995 (80),0.9432 (97),0.9071 (34),0.9237 (64),0.9187 (104),0.9501 (134),0.7918 (176),
247954,LukeCassi,0.8827 (79),0.7234 (161),0.8877 (116),0.9489 (74),0.8975 (58),0.9237 (65),0.9168 (116),0.9623 (83),0.7916 (177),
248188,lauratorralba,0.8824 (80),0.7537 (108),0.8818 (129),0.9297 (167),0.8707 (151),0.9083 (111),0.9242 (81),0.9610 (90),0.8218 (96),
247398,JosephDiSalvo,0.8821 (81),0.7240 (160),0.8808 (133),0.9393 (114),0.8737 (142),0.9147 (91),0.9208 (97),0.9649 (70),0.8223 (94),
249321,francesca_salvadore,0.8821 (81),0.7295 (150),0.8840 (124),0.9412 (107),0.8673 (159),0.9175 (80),0.9242 (80),0.9683 (51),0.8116 (127),
248187,checco4vittorini,0.8817 (82),0.7536 (109),0.8954 (93),0.9260 (186),0.8786 (123),0.9166 (86),0.9130 (130),0.9472 (144),0.8169 (115),
249283,Lukkemela,0.8817 (82),0.7571 (102),0.8722 (155),0.9517 (62),0.8636 (173),0.9121 (98),0.9115 (136),0.9605 (93),0.8193 (109),
249433,Frost,0.8817 (82),0.7580 (98),0.8919 (100),0.9490 (73),0.8673 (159),0.9009 (148),0.9179 (109),0.9577 (105),0.8042 (143),
248316,crumb_er,0.8810 (83),0.7582 (96),0.8778 (145),0.9309 (157),0.8929 (80),0.9001 (152),0.9129 (131),0.9638 (75),0.8062 (139),
248559,nicola.landini,0.8810 (83),0.7397 (131),0.8863 (120),0.9510 (64),0.8208 (285),0.9190 (76),0.9074 (149),0.9649 (70),0.8488 (34),
249351,Ferrarref,0.8810 (83),0.7582 (96),0.8778 (145),0.9309 (157),0.8929 (80),0.9001 (152),0.9129 (131),0.9638 (75),0.8062 (139),
249366,giamburrasca,0.8810 (83),0.7582 (96),0.8778 (145),0.9309 (157),0.8929 (80),0.9001 (152),0.9129 (131),0.9638 (75),0.8062 (139),
247470,valeriapante,0.8807 (84),0.7942 (37),0.8736 (153),0.9288 (173),0.8867 (94),0.9066 (119),0.9188 (103),0.9342 (216),0.8033 (146),
247573,giacomopalu,0.8807 (84),0.7396 (132),0.8897 (108),0.9393 (115),0.8543 (200),0.8921 (199),0.9372 (44),0.9600 (97),0.8196 (108),
248661,Adriana_Vella,0.8807 (84),0.7942 (37),0.8736 (153),0.9288 (173),0.8867 (94),0.9066 (119),0.9188 (103),0.9342 (216),0.8033 (146),
249164,Luca_Tombesi,0.8807 (84),0.7942 (37),0.8736 (153),0.9288 (173),0.8867 (94),0.9066 (119),0.9188 (103),0.9342 (216),0.8033 (146),
247669,nicolo.fontana,0.8804 (85),0.6933 (212),0.9048 (66),0.9453 (89),0.8761 (132),0.9193 (74),0.9052 (154),0.9661 (63),0.8081 (133),
248095,Hmila15,0.8804 (85),0.7173 (168),0.8824 (127),0.9498 (68),0.8975 (59),0.9121 (98),0.9211 (96),0.9455 (151),0.8075 (135),
248889,luca22,0.8797 (86),0.7404 (129),0.8856 (121),0.9472 (77),0.8586 (189),0.9062 (120),0.9139 (126),0.9600 (97),0.8127 (123),
247541,stabgol5,0.8790 (87),0.7102 (186),0.8608 (189),0.9551 (46),0.8788 (122),0.9118 (99),0.9123 (133),0.9688 (48),0.8210 (102),
247818,SilviaVilla,0.8790 (87),0.7412 (127),0.8587 (193),0.9367 (126),0.8789 (120),0.9113 (101),0.9260 (74),0.9437 (163),0.8246 (85),
249228,dario.vernola,0.8787 (88),0.7644 (78),0.8694 (166),0.9303 (161),0.8837 (104),0.9210 (71),0.9051 (155),0.9545 (114),0.8027 (149),
248566,Merimeri,0.8783 (89),0.7302 (149),0.8933 (97),0.9379 (123),0.8786 (124),0.8956 (175),0.9041 (159),0.9623 (83),0.8123 (125),
248847,mirkoluigi99,0.8783 (89),0.7323 (145),0.8809 (132),0.9355 (129),0.8803 (113),0.9067 (118),0.9267 (71),0.9476 (143),0.8069 (137),
248178,Topino_parmareggio,0.8780 (90),0.7102 (185),0.8764 (148),0.9370 (125),0.8906 (85),0.9037 (133),0.9265 (72),0.9419 (172),0.8087 (132),
248832,Alessandro,0.8780 (90),0.7168 (170),0.8457 (228),0.9601 (37),0.8789 (121),0.8925 (197),0.9124 (132),0.9575 (106),0.8357 (63),
247664,andremare99,0.8773 (91),0.7521 (111),0.8817 (130),0.9447 (91),0.8954 (68),0.9003 (151),0.8869 (217),0.9486 (138),0.7978 (162),
