submission_pk,User,F1_Score,Precision,Recall
618169,ZWWA,0.69 (70),0.58 (75),0.87 (14),
618033,SamuelMei,0.69 (71),0.57 (80),0.88 (13),
617972,YufeiYang,0.69 (71),0.57 (80),0.88 (13),
617994,zuhuang,0.69 (72),0.55 (91),0.91 (10),
618002,bochen92,0.69 (73),0.59 (62),0.83 (18),
618061,JiaxinQin,0.69 (74),0.58 (73),0.85 (16),
617915,trnguyen,0.69 (75),0.55 (95),0.91 (10),
617966,abhinavsharma13,0.69 (76),0.57 (78),0.85 (16),
597237,Jianhongl,0.68 (77),0.60 (54),0.79 (22),
618127,ribs24,0.68 (78),0.64 (36),0.73 (28),
617926,jiayux3,0.68 (79),0.62 (44),0.76 (25),
617940,ZhuochengG,0.68 (80),0.61 (50),0.77 (24),
617986,rinuanns,0.68 (81),0.54 (105),0.93 (8),
617990,gey3,0.68 (82),0.53 (109),0.94 (7),
618107,Zexuanli,0.68 (83),0.58 (69),0.82 (19),
618132,QilunLi,0.68 (84),0.55 (98),0.90 (11),
617983,cecilia_shen,0.68 (85),0.59 (63),0.80 (21),
618128,lan,0.68 (86),0.57 (84),0.84 (17),
618017,gaurangs,0.68 (87),0.55 (92),0.87 (14),
618056,swablueme,0.68 (88),0.58 (68),0.80 (21),
618187,qiutingli,0.67 (89),0.52 (115),0.97 (4),
617995,alanw7,0.67 (90),0.59 (61),0.78 (23),
617963,rezatama,0.67 (91),0.56 (88),0.84 (17),
618045,YIFUT,0.67 (92),0.56 (90),0.84 (17),
617924,shuochengl,0.67 (92),0.56 (90),0.84 (17),
618173,jifzhang,0.67 (93),0.54 (102),0.88 (13),
618170,caop1,0.67 (94),0.54 (106),0.88 (13),
618155,Jiang_zzz,0.67 (94),0.55 (97),0.85 (16),
618011,Zihan,0.67 (94),0.57 (85),0.81 (20),
618094,Spoorthi,0.66 (95),0.55 (96),0.84 (17),
617977,chienlinc,0.66 (96),0.53 (111),0.89 (12),
618047,dongnanc,0.66 (97),0.55 (98),0.84 (17),
617953,jiazhengyu,0.66 (98),0.51 (118),0.92 (9),
618088,runzen,0.65 (99),0.54 (103),0.83 (18),
618065,QiaoqiaoLi,0.65 (99),0.54 (103),0.83 (18),
617955,Chengyao,0.65 (100),0.51 (123),0.92 (9),
618130,lililililili,0.65 (101),0.52 (113),0.87 (14),
617918,yllu4,0.65 (102),0.50 (125),0.92 (9),
618141,shuyu3,0.65 (103),0.60 (58),0.71 (30),
618031,aaanicarm,0.65 (104),0.51 (120),0.89 (12),
617996,lc2,0.65 (104),0.55 (93),0.78 (23),
617948,sam_patel,0.65 (105),0.52 (114),0.86 (15),
618163,SihanPeng,0.65 (106),0.65 (32),0.64 (35),
618142,UoM_YEY11,0.65 (107),0.58 (71),0.73 (28),
618110,fengkai,0.65 (108),0.54 (101),0.80 (21),
618067,joellai,0.64 (109),0.51 (122),0.89 (12),
611980,pamelagao,0.64 (110),0.49 (132),0.94 (7),
618100,nnyy10,0.64 (111),0.49 (129),0.92 (9),
618003,jinjin,0.64 (112),0.50 (127),0.90 (11),
617920,Eric199007,0.64 (113),0.53 (110),0.81 (20),
618113,cl2,0.64 (114),0.57 (86),0.73 (28),
618174,mtm,0.64 (115),0.52 (117),0.83 (18),
617997,gdl,0.64 (115),0.49 (130),0.90 (11),
618027,Kumar,0.64 (116),0.55 (95),0.75 (26),
618136,yl1101704,0.64 (117),0.50 (127),0.88 (13),
618077,yufengd,0.64 (118),0.52 (112),0.81 (20),
617965,hardiksawhney,0.64 (119),0.48 (138),0.94 (7),
618016,chuanruw,0.63 (120),0.47 (144),0.96 (5),
618064,crisaldo,0.63 (121),0.50 (126),0.86 (15),
618083,NabeelZafar,0.63 (122),0.50 (124),0.85 (16),
618118,pratibha,0.63 (123),0.51 (119),0.83 (18),
618167,lllrq,0.63 (124),0.52 (116),0.81 (20),
617942,ABABUTA,0.63 (125),0.48 (137),0.91 (10),
618036,hanning1,0.63 (126),0.56 (87),0.71 (30),
618013,wanmin,0.63 (127),0.48 (134),0.89 (12),
617981,ugoel,0.62 (128),0.54 (107),0.75 (26),
618055,jteh3,0.62 (129),0.54 (99),0.73 (28),
618185,HuimingS,0.62 (130),0.46 (154),0.95 (6),
618119,morass,0.62 (130),0.46 (154),0.95 (6),
618156,yining,0.62 (131),0.49 (131),0.85 (16),
618125,aitingx,0.62 (132),0.47 (151),0.93 (8),
618080,VJayalath,0.62 (133),0.46 (159),0.96 (5),
617970,doyler1,0.62 (134),0.51 (121),0.80 (21),
618089,HongyuC,0.62 (135),0.47 (152),0.92 (9),
618071,JINXUEYI,0.62 (136),0.47 (145),0.90 (11),
618048,hualongd,0.62 (137),0.47 (143),0.89 (12),
617993,Mark-CompSci,0.62 (138),0.50 (128),0.81 (20),
618006,A12134,0.62 (139),0.48 (135),0.85 (16),
618120,zsq,0.61 (140),0.54 (100),0.71 (30),
599910,xinnans,0.61 (141),0.46 (161),0.93 (8),
618037,yejunyan,0.61 (142),0.47 (153),0.89 (12),
618145,donliu,0.61 (143),0.48 (139),0.85 (16),
618079,ZHENGYANG,0.61 (144),0.47 (150),0.88 (13),
617975,ruiqiz,0.61 (145),0.47 (148),0.87 (14),
617947,nagawidjajar,0.61 (146),0.45 (163),0.94 (7),
601464,oweeeeeeen,0.61 (147),0.49 (133),0.81 (20),
617941,tscelsi,0.61 (148),0.44 (167),0.97 (4),
618060,Haojun,0.60 (149),0.46 (155),0.87 (14),
617969,JUNLUZ,0.60 (150),0.47 (142),0.83 (18),
618043,zentz,0.60 (151),0.48 (136),0.80 (21),
618075,singas,0.60 (152),0.45 (162),0.89 (12),
618084,Haokun,0.60 (153),0.44 (169),0.95 (6),
618177,kvarghesemat,0.60 (154),0.54 (108),0.68 (33),
618049,chiyuc,0.60 (155),0.44 (168),0.92 (9),
617938,Lishuy,0.60 (156),0.48 (140),0.80 (21),
618134,navaneeth,0.60 (157),0.47 (146),0.81 (20),
618068,sgybao,0.59 (158),0.46 (160),0.85 (16),
618081,brodyt,0.59 (159),0.44 (170),0.93 (8),
617960,WangMian,0.59 (160),0.46 (158),0.83 (18),
617964,voices,0.59 (161),0.47 (147),0.80 (21),
617958,thomash1,0.59 (162),0.45 (164),0.86 (15),
618026,chaoxianZ,0.59 (163),0.45 (165),0.87 (14),
618146,yukunb,0.59 (164),0.58 (74),0.60 (37),
618114,blinklich,0.59 (165),0.45 (166),0.86 (15),
618091,slymecs,0.58 (166),0.48 (134),0.74 (27),
617933,JiayuanW,0.58 (167),0.43 (177),0.93 (8),
618151,zwjjoy,0.58 (168),0.44 (171),0.88 (13),
617949,chihwei,0.58 (169),0.47 (141),0.75 (26),
618178,francishy,0.58 (170),0.42 (178),0.93 (8),
617952,xuanhaoh,0.58 (170),0.42 (178),0.93 (8),
618009,eastonl,0.58 (171),0.42 (181),0.94 (7),
618117,Roulan,0.58 (172),0.41 (186),0.98 (3),
618101,isaacpedroza,0.57 (173),0.42 (183),0.93 (8),
617961,rsukumaran,0.57 (174),0.40 (192),0.98 (3),
618105,athal,0.57 (175),0.43 (176),0.85 (16),
618087,LJWill,0.57 (176),0.40 (197),0.97 (4),
618147,davidt,0.57 (177),0.47 (149),0.71 (30),
618044,MayanAgarwal,0.57 (178),0.43 (175),0.82 (19),
618166,hinab,0.56 (179),0.43 (173),0.81 (20),
618102,akark,0.56 (180),0.41 (189),0.92 (9),
618005,lastanto,0.56 (181),0.40 (197),0.95 (6),
617927,hongngocn,0.56 (182),0.46 (157),0.72 (29),
618073,LingfengQiang,0.56 (183),0.41 (188),0.90 (11),
617937,ShengyiZhao,0.56 (184),0.41 (187),0.89 (12),
618096,Beeeeeee,0.56 (185),0.39 (201),0.99 (2),
618000,rameshh,0.56 (186),0.40 (193),0.90 (11),
617992,SIYUB,0.56 (186),0.40 (193),0.90 (11),
618104,KaminiKotekar,0.55 (187),0.39 (200),0.94 (7),
617921,imalhotra,0.55 (188),0.42 (180),0.80 (21),
617971,lffang,0.55 (189),0.39 (204),0.95 (6),
617959,yr-967275,0.55 (190),0.40 (198),0.89 (12),
618018,samtpjones,0.54 (191),0.39 (199),0.89 (12),
617957,ZILINJ,0.54 (192),0.43 (174),0.73 (28),
618015,simaid,0.54 (193),0.39 (203),0.90 (11),
618034,kaimeru,0.54 (194),0.38 (209),0.96 (5),
617974,zijies1,0.54 (195),0.38 (207),0.93 (8),
618021,HaoZhang,0.54 (196),0.40 (195),0.81 (20),
618122,Anqi,0.54 (197),0.37 (212),1.00 (1),
618154,troycao,0.54 (198),0.38 (208),0.94 (7),
618168,kshy,0.54 (199),0.37 (211),0.97 (4),
618032,Dingw4,0.54 (200),0.41 (191),0.79 (22),
618126,jianliu,0.53 (201),0.37 (210),0.94 (7),
618069,yanjiezhou,0.53 (202),0.41 (184),0.75 (26),
617980,YCJ,0.53 (203),0.43 (172),0.69 (32),
618106,KimKim,0.53 (204),0.38 (205),0.86 (15),
618093,melrsta,0.53 (204),0.40 (194),0.77 (24),
618124,minniewang,0.52 (205),0.37 (214),0.92 (9),
617976,chuqiaochen,0.52 (205),0.42 (179),0.69 (32),
617946,hhshah,0.52 (206),0.36 (216),0.95 (6),
617908,jieluo,0.52 (207),0.37 (213),0.91 (10),
618160,abhayt,0.52 (208),0.41 (190),0.73 (28),
618181,dongshengx,0.52 (209),0.36 (215),0.92 (9),
618116,RuchiraR,0.52 (209),0.36 (215),0.92 (9),
617956,shanrb119,0.52 (209),0.36 (215),0.92 (9),
618153,Yi,0.52 (210),0.41 (185),0.70 (31),
617978,Hesheng,0.52 (211),0.35 (218),0.98 (3),
618135,Harita,0.52 (212),0.35 (222),0.99 (2),
618099,HuluIslandOld8,0.52 (213),0.35 (217),0.95 (6),
618050,lllei9,0.51 (214),0.35 (219),0.95 (6),
617968,xulin,0.51 (215),0.36 (215),0.88 (13),
618138,YH_Li,0.51 (216),0.35 (221),0.95 (6),
618159,AKOTTORRAMAL,0.51 (217),0.35 (220),0.94 (7),
617945,greeny,0.51 (218),0.42 (182),0.66 (34),
618052,mru,0.51 (219),0.38 (206),0.78 (23),
618082,liwan,0.51 (220),0.35 (223),0.94 (7),
618123,FuyaoZhang,0.51 (221),0.34 (228),0.99 (2),
618029,Heisenberg.,0.51 (222),0.35 (225),0.95 (6),
618111,RAJEONG,0.51 (223),0.40 (196),0.68 (33),
617939,zenanz,0.50 (224),0.34 (227),0.94 (7),
618023,leliu1,0.50 (225),0.46 (156),0.55 (38),
617985,adevereaux,0.50 (226),0.34 (229),0.95 (6),
617911,nhankiet,0.49 (227),0.33 (232),0.96 (5),
617907,linxuan,0.49 (228),0.34 (231),0.93 (8),
617950,HemanthChalla,0.49 (229),0.35 (224),0.85 (16),
618103,Mohnish,0.48 (230),0.32 (234),0.97 (4),
617923,yutongp1,0.48 (231),0.34 (230),0.84 (17),
618041,ztang3,0.48 (232),0.34 (226),0.80 (21),
618139,ronakvachhani,0.48 (233),0.32 (237),0.98 (3),
617988,SANKIREDDY,0.47 (234),0.32 (236),0.94 (7),
618164,Pan,0.47 (235),0.39 (202),0.60 (37),
618189,jlapthorne,0.47 (236),0.32 (238),0.92 (9),
618150,ashishk,0.47 (237),0.31 (239),0.99 (2),
618183,mtomar,0.47 (238),0.32 (235),0.85 (16),
618149,shw97,0.46 (239),0.30 (241),0.98 (3),
618165,tonic,0.46 (240),0.30 (242),0.97 (4),
618152,peiyangli,0.46 (241),0.30 (243),0.98 (3),
617991,nathanielclarence,0.45 (242),0.29 (244),1.00 (1),
617914,junrongs,0.45 (243),0.31 (240),0.88 (13),
618172,dogenstein,0.44 (244),0.32 (238),0.75 (26),
617943,XIAOHAN.HONG,0.44 (245),0.29 (246),0.97 (4),
618176,willjia,0.44 (246),0.28 (247),1.00 (1),
618001,Boweis,0.44 (247),0.29 (245),0.92 (9),
617984,michaelhanks,0.43 (248),0.28 (248),0.94 (7),
617906,dalinw,0.43 (249),0.33 (233),0.60 (37),
618148,jack.dong,0.43 (250),0.28 (249),0.91 (10),
617930,djanr,0.41 (251),0.26 (251),0.95 (6),
618161,lazyterrapin,0.41 (252),0.26 (252),0.99 (2),
618192,tranm3,0.41 (253),0.26 (253),0.95 (6),
618157,Archie,0.38 (254),0.27 (250),0.63 (36),
618062,jinfinite,0.37 (255),0.25 (254),0.70 (31),
618190,zqz1,0.33 (256),0.25 (255),0.48 (39),
617903,jhlau,0.33 (256),0.25 (255),0.48 (39),
618040,ricktompkins,0.25 (257),0.22 (256),0.31 (40),
618158,uroburos,0.00 (258),0.00 (257),0.01 (41),
