submission_pk,User,ROC AUC
668587,HAIM,0.6590 (173),
677090,thienht,0.6540 (174),
684626,yoyo876,0.6529 (175),
658840,Tal26,0.6436 (176),
654896,GumJum,0.6426 (177),
662512,zaikin,0.6419 (178),
674484,potniy,0.6415 (179),
661062,eyalgomel,0.6379 (180),
680361,refer,0.6308 (181),
655567,giladr,0.6276 (182),
687007,HadarG,0.6184 (183),
672740,Yuval_Yevnin,0.6132 (184),
676942,doansang.g1,0.6091 (185),
673020,IN,0.5938 (186),
666661,mariaholod,0.5906 (187),
666700,estarer,0.5892 (188),
665609,noa.fuchs,0.5824 (189),
656749,siddhartha1,0.5813 (190),
656329,Meiselocker,0.5806 (191),
670019,nitsan57,0.5756 (192),
668942,lukerbs,0.5660 (193),
656881,Avichai,0.5657 (194),
665040,EgoLex,0.5643 (195),
666954,RAD20,0.5507 (196),
671073,Namy,0.5472 (197),
706367,shlomishv,0.5381 (198),
656840,idanzinn,0.5372 (199),
706598,eitam,0.5283 (200),
662666,AviyaPI,0.5112 (201),
664467,oDasBeiras,0.5094 (202),
672269,erezyard,0.5000 (203),
666454,geanst,0.5000 (203),
668525,royhachnochi,0.4785 (204),
