submission_pk,User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration
46331,RUIXIA_LI,16.80 (17),0.4587 (28),0.6150 (15),0.7791 (19),0.5703 (13),0.9055 (9),1.01 (122),
45781,danny7,18.80 (18),0.4722 (17),0.6162 (14),0.7988 (15),0.5459 (19),0.8805 (29),2.01 (88),
45721,Rong,20.00 (19),0.4616 (26),0.6185 (12),0.7130 (29),0.5870 (8),0.8856 (25),1.01 (117),
45641,girldiary,21.00 (20),0.4616 (26),0.6162 (14),0.7267 (28),0.5549 (17),0.8942 (20),2.02 (76),
46281,GilbertLi,21.60 (21),0.4501 (34),0.6253 (6),0.7279 (26),0.5446 (20),0.8895 (22),1.01 (123),
45621,Chansoon,22.60 (22),0.4741 (16),0.6048 (20),0.7580 (22),0.5373 (24),0.8770 (31),1.01 (97),
46761,Geek,22.80 (23),0.4789 (12),0.5706 (28),0.6686 (34),0.5373 (24),0.8987 (16),2.02 (67),
45221,wyl,23.60 (24),0.4722 (17),0.6185 (12),0.7593 (20),0.5403 (21),0.8553 (48),2.01 (86),
45551,ylee373,25.20 (25),0.4798 (11),0.6185 (12),0.7457 (23),0.5373 (24),0.8454 (56),1.01 (125),
45671,DataMiningClass,25.40 (26),0.4779 (13),0.6093 (18),0.7056 (31),0.5446 (20),0.8713 (45),1.01 (105),
46921,wchang44,26.00 (27),0.4702 (19),0.6196 (11),0.7580 (22),0.5386 (23),0.8475 (55),2.02 (59),
45451,shizhenw,26.80 (28),0.4635 (24),0.6196 (11),0.7580 (22),0.5386 (23),0.8485 (54),1.01 (106),
45241,swang92,27.80 (29),0.4511 (33),0.6196 (11),0.7580 (22),0.5386 (23),0.8514 (50),1.01 (100),
46901,pdan,27.80 (29),0.4635 (24),0.6162 (14),0.6030 (41),0.5322 (26),0.8737 (34),1.01 (98),
45191,gapzuelo,28.00 (30),0.4664 (21),0.6162 (14),0.6036 (39),0.5304 (30),0.8733 (36),2.01 (84),
45481,shizhen,28.20 (31),0.4635 (24),0.6196 (11),0.7580 (22),0.5386 (23),0.8319 (61),2.02 (58),
45871,jrl44,28.20 (31),0.4798 (11),0.6219 (9),0.5674 (62),0.5214 (40),0.8944 (19),5983.04 (1),
46191,justrun,28.40 (32),0.4722 (17),0.5877 (25),0.6544 (35),0.5870 (8),0.8432 (57),2.02 (71),
45161,erinija,28.80 (33),0.5202 (5),0.5672 (29),0.7273 (27),0.5343 (25),0.8411 (58),1.01 (103),
47031,HarryLiu,28.80 (33),0.4626 (25),0.6105 (17),0.7124 (30),0.5193 (42),0.8803 (30),2.02 (77),
45381,Ernest,29.00 (34),0.4635 (24),0.6162 (14),0.6018 (44),0.5304 (30),0.8739 (33),1.01 (108),
45691,SRivet,29.00 (34),0.4779 (13),0.6185 (12),0.6036 (40),0.5210 (41),0.8727 (39),2.02 (63),
46871,kowalsy,29.40 (35),0.4635 (24),0.6162 (14),0.6005 (48),0.5322 (26),0.8735 (35),1.01 (112),
45311,djalel.benbouzid,29.80 (36),0.4587 (28),0.6162 (14),0.6030 (41),0.5296 (31),0.8735 (35),1.01 (115),
45501,massil,29.80 (36),0.4587 (28),0.6162 (14),0.6024 (43),0.5317 (27),0.8731 (37),2.02 (69),
47001,eskaev,30.00 (37),0.4578 (29),0.6162 (14),0.6030 (41),0.5296 (31),0.8735 (35),2.01 (85),
45151,tambetm,30.20 (38),0.4530 (32),0.6162 (14),0.6036 (39),0.5304 (30),0.8733 (36),1.02 (91),
45711,delphine,30.20 (38),0.4530 (32),0.6162 (14),0.6036 (38),0.5309 (29),0.8729 (38),1.02 (92),
46211,tadej,30.60 (39),0.4223 (39),0.6082 (19),0.4996 (65),0.5639 (16),0.9010 (14),2666.50 (24),
47021,thierry.silbermann,30.80 (40),0.4530 (32),0.6162 (14),0.6042 (37),0.5279 (34),0.8731 (37),2.02 (70),
45701,axel,31.00 (41),0.4530 (32),0.6162 (14),0.6006 (47),0.5317 (27),0.8735 (35),2.02 (64),
45991,alaurenty,31.20 (42),0.4712 (18),0.6162 (14),0.5975 (55),0.5292 (32),0.8731 (37),2.02 (61),
46231,lukasz.romaszko,31.20 (42),0.4530 (32),0.6162 (14),0.6036 (38),0.5279 (34),0.8729 (38),2.03 (57),
46751,xsong6,31.20 (42),0.4107 (41),0.5945 (22),0.8073 (10),0.5146 (45),0.8729 (38),2.03 (54),
46931,prosper.burq,31.20 (42),0.4635 (24),0.6173 (13),0.6012 (46),0.5279 (34),0.8727 (39),1.01 (110),
45391,adrienjoly,31.40 (43),0.4530 (32),0.6162 (14),0.6018 (45),0.5296 (31),0.8735 (35),1.01 (109),
45591,MasterBlaster,31.40 (43),0.4655 (22),0.5957 (21),0.6703 (33),0.4687 (53),0.8807 (28),3464.33 (23),
46241,rchevallier,31.40 (43),0.4559 (31),0.6162 (14),0.5993 (50),0.5322 (26),0.8733 (36),2.03 (56),
45411,gdupont,31.60 (44),0.4578 (29),0.6185 (12),0.5993 (50),0.5296 (31),0.8733 (36),23.13 (49),
45431,WildGuess,31.60 (44),0.4587 (28),0.6162 (14),0.5987 (54),0.5317 (27),0.8735 (35),1.02 (93),
45511,thomas.moreau,31.60 (44),0.4587 (28),0.6162 (14),0.5987 (54),0.5322 (26),0.8733 (36),2.01 (87),
46391,jm-begon,31.80 (45),0.4559 (31),0.6162 (14),0.5993 (52),0.5313 (28),0.8737 (34),2.01 (90),
45891,clemencb,32.20 (46),0.4578 (29),0.6162 (14),0.5993 (51),0.5296 (31),0.8733 (36),1.01 (121),
45931,chenjing,32.40 (47),-1.0000 (59),0.6219 (9),0.7586 (21),0.5395 (22),0.8491 (51),1.02 (96),
45231,theoryno3,32.60 (48),0.4530 (32),0.6162 (14),0.6005 (48),0.5309 (29),0.8725 (40),2.02 (68),
45881,gracekee,32.60 (48),0.4789 (12),0.6150 (15),0.5801 (61),0.5223 (39),0.8733 (36),1.01 (118),
46311,bloomy,32.60 (48),0.4530 (32),0.6162 (14),0.6000 (49),0.5304 (30),0.8729 (38),2.02 (72),
46881,abhishek4,32.60 (48),0.4645 (23),0.6139 (16),0.5907 (59),0.5287 (33),0.8741 (32),1.02 (94),
46891,E_saghapour,32.80 (49),0.2370 (57),0.6207 (10),0.6852 (32),0.4820 (50),0.8995 (15),2.03 (55),
46201,haoyouqu,33.40 (50),0.3992 (45),0.5911 (24),0.8203 (4),0.4858 (48),0.8711 (46),1.01 (124),
46861,SamSung,33.60 (51),0.3992 (45),0.5911 (24),0.8203 (4),0.4704 (52),0.8719 (43),2.02 (60),
45141,eric2,34.20 (52),0.4722 (17),0.5524 (33),0.5324 (63),0.5244 (37),0.8934 (21),4005.93 (19),
45171,Anders,34.20 (52),0.4722 (17),0.5524 (33),0.5324 (63),0.5244 (37),0.8934 (21),4038.02 (14),
45181,jose,34.20 (52),0.4722 (17),0.5524 (33),0.5324 (63),0.5244 (37),0.8934 (21),3979.97 (21),
45271,saskia,34.20 (52),0.4597 (27),0.6162 (14),0.5969 (56),0.5274 (35),0.8727 (39),412.76 (27),
45291,k.diou,34.20 (52),0.4722 (17),0.5524 (33),0.5324 (63),0.5244 (37),0.8934 (21),4073.17 (7),
45321,shantanudeshpande,34.20 (52),0.4722 (17),0.5524 (33),0.5324 (63),0.5244 (37),0.8934 (21),4004.64 (20),
45561,igor.chikalov,34.20 (52),0.4722 (17),0.5524 (33),0.5324 (63),0.5244 (37),0.8934 (21),4043.41 (11),
45611,guyon,34.20 (52),0.4722 (17),0.5524 (33),0.5324 (63),0.5244 (37),0.8934 (21),4041.04 (12),
45831,ngthuydiem,34.20 (52),0.4722 (17),0.5524 (33),0.5324 (63),0.5244 (37),0.8934 (21),4038.79 (13),
46151,z.dai@sheffield.ac.uk,34.20 (52),0.4722 (17),0.5524 (33),0.5324 (63),0.5244 (37),0.8934 (21),4036.62 (15),
46171,nissan.pow,34.20 (52),0.4722 (17),0.5524 (33),0.5324 (63),0.5244 (37),0.8934 (21),4023.98 (16),
46251,zhenwen,34.20 (52),0.4722 (17),0.5524 (33),0.5324 (63),0.5244 (37),0.8934 (21),4117.54 (5),
46301,zzelig,34.20 (52),0.4722 (17),0.5524 (33),0.5324 (63),0.5244 (37),0.8934 (21),4053.89 (9),
46351,john.smith.machine,34.20 (52),0.4722 (17),0.5524 (33),0.5324 (63),0.5244 (37),0.8934 (21),4062.64 (8),
46371,wsmath1234,34.20 (52),0.4722 (17),0.5524 (33),0.5324 (63),0.5244 (37),0.8934 (21),3834.57 (22),
46811,nada,34.20 (52),0.4722 (17),0.5524 (33),0.5324 (63),0.5244 (37),0.8934 (21),4044.77 (10),
46911,aiva,34.20 (52),0.4722 (17),0.5524 (33),0.5324 (63),0.5244 (37),0.8934 (21),4115.46 (6),
46941,starting_kit,34.20 (52),0.4722 (17),0.5524 (33),0.5324 (63),0.5244 (37),0.8934 (21),4023.89 (17),
46971,Mehdi42,34.20 (52),0.4597 (27),0.6162 (14),0.5969 (56),0.5236 (38),0.8733 (36),394.94 (32),
46991,Ironman,34.20 (52),0.4597 (27),0.6219 (9),0.5845 (60),0.5266 (36),0.8727 (39),2.02 (66),
45801,xinyu,34.40 (53),0.3925 (46),0.5945 (22),0.8098 (9),0.4773 (51),0.8717 (44),2.01 (82),
47011,matthias.vonrohr,34.80 (54),0.4770 (14),0.5433 (35),0.5324 (64),0.5159 (44),0.8975 (17),4011.18 (18),
46221,jldormoy,35.80 (55),0.4530 (32),0.6162 (14),0.5925 (58),0.5266 (36),0.8727 (39),387.24 (36),
45521,bpiot,36.20 (56),0.4530 (32),0.6162 (14),0.5925 (58),0.5236 (38),0.8727 (39),392.20 (35),
46181,youssef,36.20 (56),0.4530 (32),0.6162 (14),0.5925 (58),0.5236 (38),0.8727 (39),397.36 (29),
46821,pbeirao,36.20 (56),0.4530 (32),0.6162 (14),0.5925 (58),0.5236 (38),0.8727 (39),394.11 (34),
45491,reference,36.60 (57),0.4530 (32),0.6162 (14),0.5944 (57),0.5236 (38),0.8721 (42),395.13 (31),
45921,lovro.ilijasic,36.60 (57),0.4530 (32),0.6162 (14),0.5925 (58),0.5236 (38),0.8723 (41),398.74 (28),
45471,meme,36.80 (58),0.4568 (30),0.5524 (33),0.5324 (63),0.5244 (37),0.8934 (21),4406.14 (3),
45531,nadinehajj,36.80 (58),0.4530 (32),0.6162 (14),0.5925 (58),0.5266 (36),0.8717 (44),385.21 (37),
45851,jana.kludas,36.80 (58),0.4568 (30),0.5524 (33),0.5324 (63),0.5244 (37),0.8934 (21),4401.09 (4),
46831,AuroraJH,36.80 (58),0.4530 (32),0.6162 (14),0.5925 (58),0.5266 (36),0.8717 (44),380.44 (38),
46841,finlouarn,37.00 (59),0.4530 (32),0.6162 (14),0.5944 (57),0.5236 (38),0.8717 (44),396.49 (30),
45281,bardolfranck@gmail.com,37.20 (60),0.4530 (32),0.6162 (14),0.5925 (58),0.5236 (38),0.8717 (44),417.11 (26),
46361,Brigitte,37.20 (60),0.4415 (37),0.6162 (14),0.5992 (53),0.5189 (43),0.8727 (39),1.01 (113),
46951,benjamin.berhault,37.20 (60),0.4530 (32),0.6162 (14),0.5925 (58),0.5236 (38),0.8717 (44),394.29 (33),
46961,hoho,37.80 (61),0.3618 (54),0.6264 (5),0.6229 (36),0.3679 (68),0.8832 (26),2.01 (80),
45461,cengstrom2,40.40 (62),0.4050 (43),0.5866 (26),0.4931 (66),0.4850 (49),0.8963 (18),1.01 (102),
46271,moli,40.40 (62),0.4415 (37),0.5718 (27),0.4342 (67),0.4897 (47),0.8883 (24),1.01 (99),
45731,mark123,46.60 (63),-1.0000 (59),0.5934 (23),0.6030 (42),0.5056 (46),0.8249 (63),2.01 (81),
45371,marc.boulle,50.00 (64),0.4530 (32),0.5569 (31),0.1789 (71),0.4533 (54),0.8255 (62),137.69 (39),
45301,Harveyz,52.20 (65),0.4491 (35),0.5490 (34),0.2236 (69),0.4262 (59),0.8233 (64),1.01 (119),
46981,lakerwsl,54.60 (66),-1.0000 (59),0.5672 (29),0.2093 (70),0.4297 (58),0.8432 (57),1.01 (101),
46341,topshell,54.80 (67),0.4251 (38),0.5125 (42),0.1686 (73),0.4318 (56),0.8223 (65),2.01 (89),
45761,BogdanCirstea,55.00 (68),0.4040 (44),0.5125 (42),0.2878 (68),0.3662 (69),0.8489 (52),29.24 (44),
45791,beathugo,56.00 (69),0.3676 (52),0.5216 (41),0.1543 (75),0.3894 (65),0.8557 (47),22.19 (50),
46141,kevinzhao90,56.00 (69),0.3848 (48),0.5615 (30),0.1251 (79),0.4305 (57),0.8212 (66),1.01 (111),
46161,ncouturier,56.00 (69),0.3608 (55),0.5535 (32),0.1630 (74),0.3598 (70),0.8542 (49),31.22 (40),
45201,ccouturi,56.20 (70),0.4098 (42),0.4943 (44),0.1350 (77),0.3894 (65),0.8487 (53),31.18 (41),
46261,jeanvivien,57.80 (71),0.3695 (51),0.5262 (38),0.1709 (72),0.4099 (60),0.8198 (68),29.12 (46),
45341,toogy,58.00 (72),0.4184 (40),0.5296 (36),0.0909 (82),0.4065 (61),0.8132 (71),28.12 (47),
45681,mouse,58.40 (73),0.4184 (40),0.5285 (37),0.1004 (81),0.4005 (64),0.8147 (70),23.19 (48),
46291,lopezco,58.40 (73),0.4107 (41),0.5251 (39),0.1084 (80),0.4052 (63),0.8153 (69),29.13 (45),
46131,claesenm,58.80 (74),0.4482 (36),0.4886 (45),0.0000 (86),0.4361 (55),0.8042 (72),2.01 (79),
46851,seiteta,58.80 (74),0.3820 (49),0.5239 (40),0.1506 (76),0.4057 (62),0.8204 (67),31.14 (43),
46401,rgmantovani,59.60 (75),0.3647 (53),0.5216 (41),0.1348 (78),0.3744 (66),0.8321 (60),2.01 (83),
45651,brunoseznec,61.60 (76),0.3791 (50),0.4681 (47),0.0641 (85),0.3696 (67),0.8399 (59),22.18 (51),
45401,daniel.soudry,63.60 (77),0.3868 (47),0.5000 (43),0.0756 (83),0.3465 (71),0.7409 (74),1.02 (95),
45841,Metzrwan,66.20 (78),0.3551 (56),0.4761 (46),0.0646 (84),0.3220 (72),0.7977 (73),31.16 (42),
