submission_pk,User,Overall,Clarity,Conciseness
401615,experiencor,0.282413 (40),0.218683 (44),0.346143 (40),
410185,javiersuweijie,0.282496 (41),0.218308 (40),0.346685 (41),
407387,nayeem13,0.282561 (42),0.221281 (67),0.343840 (36),
402708,almightyGOSU,0.283010 (43),0.218830 (47),0.347189 (42),
412372,fangyizhang,0.283147 (44),0.219025 (48),0.347270 (43),
402044,nhuantran,0.283284 (45),0.222729 (75),0.343840 (36),
403439,charrtay,0.283739 (46),0.218406 (43),0.349073 (47),
404261,Ngoc_Linh_Ng,0.284478 (47),0.220390 (58),0.348565 (45),
400052,robog,0.284517 (48),0.220397 (59),0.348638 (46),
411131,dakho,0.285276 (49),0.229747 (100),0.340805 (34),
404312,pramod,0.285365 (50),0.219499 (52),0.351230 (49),
412277,QuanDB,0.285420 (51),0.219687 (54),0.351154 (48),
403472,Allenbj,0.286158 (52),0.218395 (42),0.353922 (52),
409185,ngocnguyen33,0.286471 (53),0.219503 (53),0.353440 (50),
412145,haryoaw,0.286963 (54),0.220334 (57),0.353592 (51),
412305,TangYifan,0.287430 (55),0.219868 (56),0.354991 (54),
410259,Mayur,0.287525 (56),0.218763 (46),0.356288 (56),
406204,ddofer,0.287545 (57),0.218705 (45),0.356385 (57),
410098,lf,0.287691 (58),0.219484 (51),0.355898 (55),
410603,InfiniteWing,0.288854 (59),0.219696 (55),0.358013 (59),
399841,phihungle,0.289170 (60),0.217634 (34),0.360707 (63),
412103,suzyahyah,0.289466 (61),0.224522 (87),0.354411 (53),
405108,aliakbars,0.289890 (62),0.222580 (74),0.357201 (58),
402277,pnphannisa,0.289935 (63),0.220545 (61),0.359324 (61),
401142,Realdeo,0.291401 (64),0.224554 (88),0.358247 (60),
403479,islands,0.291832 (65),0.223751 (82),0.359914 (62),
404698,alamhanz,0.291852 (66),0.220632 (63),0.363072 (64),
411365,aniya.aggarwal,0.294264 (67),0.224894 (89),0.363634 (65),
409400,alvy,0.294782 (68),0.220457 (60),0.369108 (71),
402019,UdahLulus,0.295425 (69),0.222206 (72),0.368644 (70),
401078,DataGeek,0.295626 (70),0.226983 (95),0.364268 (66),
402473,manoj1992,0.296466 (71),0.219293 (50),0.373639 (79),
412370,shiny_star,0.296482 (72),0.223678 (80),0.369286 (72),
410886,masatoh,0.297016 (73),0.221489 (68),0.372543 (75),
406640,tulip4attoo,0.297059 (74),0.220564 (62),0.373554 (78),
412014,hieuiph,0.297059 (74),0.221121 (66),0.372997 (76),
409919,pilgrim222,0.297094 (75),0.219025 (48),0.375163 (81),
409977,victor191,0.297177 (76),0.219114 (49),0.375239 (82),
406710,strnam,0.297569 (77),0.221041 (65),0.374097 (80),
403153,yudiwbs,0.297712 (78),0.225407 (92),0.370017 (73),
402092,tyasnk,0.298455 (79),0.229706 (99),0.367204 (67),
407539,tanthml,0.298711 (80),0.224088 (86),0.373335 (77),
400303,arisbw,0.298851 (81),0.221532 (69),0.376169 (84),
402509,bbalajadia,0.298998 (82),0.222304 (73),0.375691 (83),
401397,me,0.301550 (83),0.226359 (94),0.376741 (85),
400288,dxgod,0.302515 (84),0.221835 (70),0.383196 (89),
405786,linlingting,0.302622 (85),0.227639 (96),0.377604 (86),
402657,jaemy29,0.303498 (86),0.224073 (85),0.382923 (87),
412081,Stan.2015,0.303618 (87),0.222812 (76),0.384424 (91),
412489,jomondal,0.304254 (88),0.237782 (113),0.370726 (74),
400415,Fernando,0.305461 (89),0.223359 (79),0.387563 (92),
412226,DL,0.306677 (90),0.223308 (78),0.390047 (95),
403411,abhinavkashyap92,0.307561 (91),0.224928 (90),0.390194 (96),
401004,roebl,0.309129 (92),0.230501 (102),0.387757 (93),
403550,phdphdland,0.309691 (93),0.229815 (101),0.389567 (94),
411105,Thomas.Nguyen,0.310428 (94),0.223748 (81),0.397108 (98),
411167,Yuxian,0.311575 (95),0.239599 (118),0.383550 (90),
400939,vietthang.hcmus,0.312013 (96),0.222834 (77),0.401192 (103),
412096,sherryxue1991,0.312582 (97),0.218289 (39),0.406874 (109),
409622,rkant062,0.313339 (98),0.227982 (98),0.398696 (101),
400292,rajeev.nitrr,0.315865 (99),0.234388 (109),0.397341 (100),
401041,student8080,0.316248 (100),0.238088 (114),0.394407 (97),
406389,sharonczy,0.316879 (101),0.227874 (97),0.405884 (108),
407408,longkyanh,0.317544 (102),0.232181 (104),0.402906 (105),
398930,qttruong,0.317553 (103),0.232192 (105),0.402913 (106),
401104,peace195,0.317553 (103),0.232192 (105),0.402913 (106),
403669,veras,0.317553 (103),0.232192 (105),0.402913 (106),
405352,sharry,0.317553 (103),0.232192 (105),0.402913 (106),
405406,kish19,0.317998 (104),0.238663 (116),0.397333 (99),
412240,cyberliem,0.318290 (105),0.222149 (71),0.414431 (110),
410005,road_block,0.321464 (106),0.225142 (91),0.417786 (112),
412217,abladdha,0.321968 (107),0.276097 (132),0.367840 (69),
400698,akhiyarwaladi,0.322940 (108),0.226072 (93),0.419808 (113),
400024,wonglkd,0.324043 (109),0.245245 (120),0.402840 (104),
410400,CicelyW,0.329122 (110),0.232596 (106),0.425647 (115),
404243,masayu,0.330352 (111),0.238593 (115),0.422110 (114),
401424,cynthiaho711,0.332821 (112),0.235969 (110),0.429673 (116),
412460,sreeIN,0.334289 (113),0.250901 (127),0.417676 (111),
408499,annamalai,0.335666 (114),0.238667 (117),0.432664 (118),
402851,nagaki,0.338433 (115),0.276284 (133),0.400581 (102),
406252,nelsondinh,0.341258 (116),0.231466 (103),0.451049 (121),
411993,SVishal,0.342010 (117),0.316555 (137),0.367465 (68),
400371,tuan3w,0.342351 (118),0.281789 (134),0.402913 (106),
403505,drumrick,0.342820 (119),0.243517 (119),0.442122 (119),
401090,BoT,0.344725 (120),0.237782 (113),0.451668 (122),
402837,madknight,0.347977 (121),0.232815 (107),0.463138 (127),
403499,TakaComa,0.348178 (122),0.236612 (111),0.459743 (126),
406698,Hadong,0.349652 (123),0.247001 (125),0.452303 (123),
408417,duyetdev,0.352808 (124),0.246619 (124),0.458996 (125),
401431,cwong019,0.354592 (125),0.245245 (120),0.463939 (128),
407695,christinebalili,0.356495 (126),0.269532 (130),0.443458 (120),
398628,mtkachenko,0.364359 (127),0.271113 (131),0.457605 (124),
412443,Murkrow,0.368308 (128),0.223838 (83),0.512778 (135),
410298,YenDo,0.368609 (129),0.237452 (112),0.499766 (129),
400144,tubagus_dhafin,0.373202 (130),0.363290 (139),0.383113 (88),
400749,quangbd,0.373663 (131),0.245933 (122),0.501392 (131),
401024,abdulg12,0.376052 (132),0.248578 (126),0.503525 (132),
399079,andrew_lee,0.377206 (133),0.245245 (120),0.509166 (134),
410054,mirusiv,0.378961 (134),0.234182 (108),0.523740 (137),
412019,migue,0.385684 (135),0.220984 (64),0.550384 (140),
411995,octavioloyola,0.387200 (136),0.224016 (84),0.550384 (140),
402099,vinodrajendran001,0.387969 (137),0.245245 (120),0.530693 (139),
403163,fatty,0.388840 (138),0.258493 (128),0.519188 (136),
410112,njawalkar,0.399126 (139),0.246105 (123),0.552146 (141),
409393,SergazyK,0.404621 (140),0.404601 (140),0.404640 (107),
401216,rasyidstat,0.406056 (141),0.245245 (120),0.566867 (144),
410907,kakachaguan,0.406179 (142),0.245418 (121),0.566941 (145),
400775,SkyBlaise,0.411276 (143),0.245245 (120),0.577306 (146),
401276,rilut,0.412246 (144),0.267106 (129),0.557385 (142),
409069,markus,0.431842 (145),0.301906 (135),0.561777 (143),
401229,zaraki,0.451534 (146),0.302500 (136),0.600568 (148),
410920,Quang_nguyen,0.485640 (147),0.463027 (141),0.508253 (133),
412013,vtquach,0.489455 (148),0.351039 (138),0.627871 (150),
411084,trangptm,0.500406 (149),0.500623 (143),0.500189 (130),
400076,geledek,0.508580 (150),0.587065 (145),0.430095 (117),
411185,bearstrikesback,0.552020 (151),0.576880 (144),0.527160 (138),
410201,jcuzzola,0.558434 (152),0.499738 (142),0.617131 (149),
400231,hadylauw,0.578587 (153),0.576880 (144),0.580294 (147),
400236,whallley,0.578587 (153),0.576880 (144),0.580294 (147),
401166,asfi,0.578587 (153),0.576880 (144),0.580294 (147),
402139,lordhamlet,0.578587 (153),0.576880 (144),0.580294 (147),
411892,hardik.meisheri,0.896635 (154),0.969461 (146),0.823809 (151),
400050,chriswolg,3.141593 (155),3.141593 (147),3.141593 (152),
400230,space51,3.141593 (155),3.141593 (147),3.141593 (152),
401336,Dexerslab,3.141593 (155),3.141593 (147),3.141593 (152),
401898,trietnm2,3.141593 (155),3.141593 (147),3.141593 (152),
402482,kishan19,3.141593 (155),3.141593 (147),3.141593 (152),
404994,yosefardhito,3.141593 (155),3.141593 (147),3.141593 (152),
411730,Vishalsun,3.141593 (155),3.141593 (147),3.141593 (152),
411949,nish,3.141593 (155),3.141593 (147),3.141593 (152),
