submission_pk,User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration
16071,aiva,13.60 (13),0.8154 (14),0.7841 (17),0.8738 (9),0.7011 (16),0.3520 (12),3.05 (39),
16691,zzelig,13.60 (13),0.8154 (14),0.7841 (17),0.8738 (9),0.7011 (16),0.3520 (12),3.04 (41),
16741,luyang,13.60 (13),0.8154 (14),0.7841 (17),0.8738 (9),0.7011 (16),0.3520 (12),3.04 (44),
18111,Ironman,13.60 (13),0.8154 (14),0.7841 (17),0.8738 (9),0.7011 (16),0.3520 (12),3.03 (45),
18311,topshell,13.60 (13),0.8154 (14),0.7841 (17),0.8738 (9),0.7011 (16),0.3520 (12),3.04 (40),
12641,k.diou,14.20 (14),0.8160 (10),0.7846 (10),0.8156 (14),0.7013 (15),0.3447 (22),953.76 (9),
18301,haoyouqu,14.20 (14),0.8154 (13),0.7843 (13),0.8156 (14),0.7009 (17),0.3512 (14),948.67 (10),
16041,wchang44,14.40 (15),0.8154 (14),0.7846 (9),0.8156 (14),0.7013 (15),0.3477 (20),933.40 (14),
16511,GilbertLi,14.40 (15),0.8161 (9),0.7846 (11),0.8156 (14),0.7009 (17),0.3448 (21),928.44 (15),
19301,joyce,14.80 (16),0.8154 (14),0.7835 (23),0.8738 (9),0.7011 (16),0.3520 (12),3.09 (28),
19241,Minjie_Fan,15.00 (17),0.8154 (14),0.7830 (24),0.8738 (9),0.7011 (16),0.3520 (12),3.06 (35),
12531,automl2015,15.20 (18),0.8150 (17),0.7839 (19),0.9487 (4),0.8215 (11),0.3046 (25),4.17 (24),
16571,gracekee,15.20 (18),0.8154 (14),0.7783 (25),0.8738 (9),0.7011 (16),0.3520 (12),3.01 (54),
16671,xsong6,15.40 (19),0.8152 (15),0.7845 (12),0.8156 (14),0.7007 (19),0.3494 (17),964.53 (7),
18581,Anders,15.60 (20),0.8154 (14),0.7543 (27),0.8738 (9),0.7011 (16),0.3520 (12),3.07 (32),
19181,RUIXIA_LI,15.80 (21),0.8154 (14),0.7394 (28),0.8738 (9),0.7011 (16),0.3520 (12),3.02 (48),
12481,reference,16.00 (22),0.8150 (18),0.7840 (18),0.8156 (14),0.7009 (17),0.3517 (13),957.83 (8),
18791,ylee373,16.00 (22),0.8154 (14),0.7125 (29),0.8738 (9),0.7011 (16),0.3520 (12),3.02 (53),
15391,kevinzhao90,16.20 (23),0.8144 (20),0.7841 (16),0.8156 (14),0.7013 (15),0.3503 (16),947.61 (11),
19211,HarryLiu,16.20 (23),0.8154 (14),0.7119 (30),0.8738 (9),0.7011 (16),0.3520 (12),3.02 (52),
11981,g.cawley,16.40 (24),0.7459 (28),0.7841 (17),0.8738 (9),0.7011 (16),0.3520 (12),2.45 (64),
15771,ngthuydiem,16.40 (24),0.8158 (12),0.7837 (22),0.8156 (14),0.7011 (16),0.3492 (18),943.15 (12),
19041,ChenLi,16.40 (24),0.8154 (14),0.7104 (31),0.8738 (9),0.7011 (16),0.3520 (12),3.02 (50),
18751,chenjing,16.60 (25),0.8154 (14),0.7095 (32),0.8738 (9),0.7011 (16),0.3520 (12),3.07 (33),
15991,lakerwsl,16.80 (26),0.8154 (14),0.7085 (33),0.8738 (9),0.7011 (16),0.3520 (12),2.88 (63),
15811,claesenm,17.00 (27),0.8112 (22),0.6976 (37),0.8480 (13),0.8332 (9),0.4284 (4),3.02 (49),
17971,primachou,17.00 (27),0.8154 (14),0.7059 (34),0.8738 (9),0.7011 (16),0.3520 (12),5.20 (23),
389861,wyl,17.20 (28),0.8154 (14),0.7035 (35),0.8738 (9),0.7011 (16),0.3520 (12),3.01 (56),
18541,zongyan,17.40 (29),0.8154 (14),0.6979 (36),0.8738 (9),0.7011 (16),0.3520 (12),3.03 (46),
19091,Muser_Hao,17.80 (30),0.8154 (14),0.6657 (38),0.8738 (9),0.7011 (16),0.3520 (12),3.05 (37),
14721,dstarer,18.20 (31),0.8150 (16),0.7838 (21),0.8156 (14),0.7009 (17),0.3446 (23),927.90 (16),
18671,girldiary,18.40 (32),0.8154 (14),0.6413 (41),0.8738 (9),0.7011 (16),0.3520 (12),3.03 (47),
17341,z.dai@sheffield.ac.uk,18.80 (33),0.8166 (6),-0.0417 (52),0.8156 (14),0.7013 (15),0.3545 (7),827.36 (17),
18271,Harveyz,18.80 (33),0.8154 (14),0.6409 (43),0.8738 (9),0.7011 (16),0.3520 (12),3.05 (38),
14641,marc.boulle,19.00 (34),0.8143 (21),0.6365 (46),0.8633 (11),0.8075 (12),0.3746 (5),3.75 (25),
18431,cengstrom2,19.00 (34),0.8154 (14),0.6409 (44),0.8738 (9),0.7011 (16),0.3520 (12),3.00 (59),
18461,moli,19.20 (35),0.8154 (14),0.6408 (45),0.8738 (9),0.7011 (16),0.3520 (12),3.08 (29),
17211,Chansoon,19.80 (36),0.8154 (14),0.5550 (48),0.8738 (9),0.7011 (16),0.3520 (12),3.06 (34),
15091,matthias.vonrohr,20.00 (37),0.7884 (27),0.6520 (39),0.8714 (10),0.7009 (18),0.3570 (6),101.70 (19),
18731,justrun,20.00 (37),0.8154 (14),0.5304 (49),0.8738 (9),0.7011 (16),0.3520 (12),3.04 (43),
17381,zhenwen,20.40 (38),0.8148 (19),0.6410 (42),0.8156 (14),0.7011 (16),0.3528 (11),1209.23 (3),
389837,jana.kludas,20.60 (39),0.8066 (24),0.6476 (40),0.9321 (8),0.8470 (7),0.3192 (24),3.01 (58),
18761,hoho,20.80 (40),0.8154 (14),-1.0000 (53),0.8738 (9),0.7011 (16),0.3520 (12),3.05 (36),
19191,aad_freiburg,23.80 (41),0.8016 (26),0.3478 (50),0.9391 (6),0.8239 (10),-0.0013 (27),1187.99 (4),
16801,tadej,26.60 (42),0.8019 (25),-3.1821 (54),0.9376 (7),0.6997 (21),0.0028 (26),1631.21 (1),
14631,shiyenshi,27.60 (43),0.7417 (29),0.6057 (47),0.8633 (12),0.3204 (22),-0.0482 (28),93.46 (20),
14011,momohuang,29.60 (44),0.7323 (30),0.1280 (51),0.7468 (15),0.2910 (23),-0.0529 (29),70.18 (21),
13171,igor.chikalov,31.20 (45),-1.0000 (31),-3.1821 (55),0.0000 (16),0.0000 (24),-0.0531 (30),6.80 (22),
19161,john.smith.machine,31.20 (45),-1.0000 (31),-3.1821 (55),0.0000 (16),0.0000 (24),-0.0531 (30),3.01 (55),
