submission_pk,User,All,English,German,Latin,Swedish
,ACC,ACC,ACC,ACC,ACC
587043,jinan,0.499 (4),0.295 (14),0.735 (2),0.388 (10),0.579 (5),,,,,,
578148,p.cassotti,0.496 (5),0.304 (11),0.722 (4),0.395 (8),0.562 (6),,,,,,
630805,lucas.rettenmeier,0.483 (6),0.356 (7),0.679 (7),0.300 (18),0.597 (3),,,,,,
574666,pribanp,0.455 (7),0.365 (5),0.687 (6),0.181 (20),0.587 (4),,,,,,
590067,mgruppi,0.432 (8),0.292 (16),0.567 (11),0.455 (7),0.415 (9),,,,,,
714437,belerico,0.419 (9),0.352 (8),0.640 (9),0.340 (14),0.343 (13),,,,,,
590353,RanIwamoto,0.402 (10),0.358 (6),0.576 (10),0.336 (15),0.337 (14),,,,,,
575808,Qing,0.400 (11),-0.086 (30),0.677 (8),0.469 (6),0.539 (8),,,,,,
570248,vaibhav29498,0.352 (12),0.250 (17),0.499 (15),0.303 (17),0.357 (11),,,,,,
579707,dovvakkin,0.342 (13),0.179 (21),0.553 (12),0.489 (3),0.146 (20),,,,,,
603353,cbk,0.337 (14),0.293 (15),0.414 (18),0.343 (13),0.300 (16),,,,,,
606508,Eamar,0.321 (15),0.212 (18),0.452 (16),0.513 (2),0.107 (23),,,,,,
557436,Emkay,0.316 (16),0.061 (24),0.538 (13),0.332 (16),0.331 (15),,,,,,
592975,lampa112,0.295 (17),0.309 (9),0.429 (17),0.472 (5),-0.030 (29),,,,,,
574579,DavidRother,0.269 (18),0.440 (3),0.412 (19),0.109 (23),0.114 (22),,,,,,
575798,snoopy,0.253 (19),0.175 (22),0.527 (14),0.148 (22),0.162 (19),,,,,,
575229,nulty,0.234 (20),0.307 (10),0.216 (22),0.069 (24),0.344 (12),,,,,,
574610,ehsaneddin,0.218 (21),0.299 (13),0.208 (24),-0.024 (28),0.391 (10),,,,,,
570920,semeval2020_baseline2_ct_ci_cd,0.144 (22),0.022 (26),0.216 (23),0.359 (11),-0.022 (28),,,,,,
606198,DeadBread,0.133 (23),0.299 (12),0.094 (27),-0.134 (31),0.274 (17),,,,,,
575863,hubbsa,0.133 (24),0.206 (20),-0.142 (31),0.262 (19),0.207 (18),,,,,,
598790,xc2628,0.114 (25),0.175 (22),0.527 (14),-0.410 (33),0.162 (19),,,,,,
575254,elerisarsfield,0.100 (26),0.105 (23),0.220 (21),-0.024 (29),0.102 (24),,,,,,
776899,Hemam,0.089 (27),0.057 (25),0.220 (21),-0.024 (29),0.102 (24),,,,,,
575132,kztodorov,0.087 (28),-0.043 (28),0.027 (28),0.347 (12),0.017 (26),,,,,,
574877,basagashka,0.087 (29),-0.155 (31),0.388 (20),0.177 (21),-0.062 (30),,,,,,
577102,aniekler,0.031 (30),-0.079 (29),0.124 (26),-0.005 (27),0.083 (25),,,,,,
576188,snoopy,0.025 (31),0.211 (19),0.183 (25),-0.427 (34),0.131 (21),,,,,,
576568,sqr_hussain,NaN (32),NaN (27),-0.211 (32),-0.031 (30),NaN (27),,,,,,
570925,semeval2020_baseline3_majorit,NaN (32),NaN (27),NaN (30),NaN (26),NaN (27),,,,,,
1112734,mahab,-0.006 (33),-0.322 (35),0.220 (21),-0.024 (29),0.102 (24),,,,,,
570916,semeval2020_baseline1_fd,-0.083 (34),-0.217 (33),0.014 (29),0.020 (25),-0.150 (32),,,,,,
686267,vinid,-0.305 (35),-0.242 (34),-0.567 (34),-0.322 (32),-0.090 (31),,,,,,
676585,fdzr,-0.413 (36),-0.207 (32),-0.493 (33),-0.431 (35),-0.521 (33),,,,,,
