submission_pk,User,Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1)
,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness
512868,hammadfahim,-999.999 (6),-999.999 (6),,,,,,,,,,,
496663,Ruchira,-999.999 (6),-999.999 (6),,,,,,,,,,,
495100,TharinduGayan,-999.999 (6),-999.999 (6),,,,,,,,,,,
494852,Zupun_Ranatunge,-999.999 (6),-999.999 (6),,,,,,,,,,,
437726,CZWin32768,-999.999 (6),-999.999 (6),,,,,,,,,,,
437810,hhaddad,-999.999 (6),-999.999 (6),,,,,,,,,,,
442297,to.john.mcgonical,-999.999 (6),-999.999 (6),,,,,,,,,,,
438639,psyml,-999.999 (6),-999.999 (6),,,,,,,,,,,
438767,yoyo,-999.999 (6),-999.999 (6),,,,,,,,,,,
437594,lanman,-999.999 (6),-999.999 (6),,,,,,,,,,,
437598,ISCLAB,-999.999 (6),-999.999 (6),,,,,,,,,,,
441651,ad26kt,-999.999 (6),-999.999 (6),,,,,,,,,,,
445038,wangmin,-999.999 (6),-999.999 (6),,,,,,,,,,,
439087,hebe,-999.999 (6),-999.999 (6),,,,,,,,,,,
439099,minok00,-999.999 (6),-999.999 (6),,,,,,,,,,,
439109,NAVEEN.J.R,-999.999 (6),-999.999 (6),,,,,,,,,,,
439130,AlexandraFlescan,-999.999 (6),-999.999 (6),,,,,,,,,,,
439145,utpalsikdar,-999.999 (6),-999.999 (6),,,,,,,,,,,
439154,jogonba2,-999.999 (6),-999.999 (6),,,,,,,,,,,
439143,danielfl,-999.999 (6),-999.999 (6),,,,,,,,,,,
439196,NAGOUDI,-999.999 (6),-999.999 (6),,,,,,,,,,,
439349,venkatesh-1729,-999.999 (6),-999.999 (6),,,,,,,,,,,
439843,ruwanw,-999.999 (6),-999.999 (6),,,,,,,,,,,
439905,anasteam,-999.999 (6),-999.999 (6),,,,,,,,,,,
440357,dragoni,-999.999 (6),-999.999 (6),,,,,,,,,,,
440376,Habibeh,-999.999 (6),-999.999 (6),,,,,,,,,,,
440637,dmikrav,-999.999 (6),-999.999 (6),,,,,,,,,,,
460109,FrosinaStojanovska,-999.999 (6),-999.999 (6),,,,,,,,,,,
451204,prabod,-999.999 (6),-999.999 (6),,,,,,,,,,,
466305,dominikstanojevic,-999.999 (6),-999.999 (6),,,,,,,,,,,
469089,bakrianoo,-999.999 (6),-999.999 (6),,,,,,,,,,,
475341,nvidia,-999.999 (6),-999.999 (6),,,,,,,,,,,
submission_pk,User,Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1)
,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness
439154,jogonba2,0.705 (1),0.517 (1),,,,,,,,,,,
438767,yoyo,0.387 (3),0.270 (3),,,,,,,,,,,
440157,bicici,0.415 (2),0.312 (2),,,,,,,,,,,
439367,Amrita_student,0.273 (4),0.187 (4),,,,,,,,,,,
439459,thelonewolf190694,0.078 (5),0.100 (6),,,,,,,,,,,
439130,AlexandraFlescan,-0.003 (6),0.127 (5),,,,,,,,,,,
953666,no_name,-999.999 (7),-999.999 (7),,,,,,,,,,,
934486,alvarosness,-999.999 (7),-999.999 (7),,,,,,,,,,,
787552,sohaelshafey,-999.999 (7),-999.999 (7),,,,,,,,,,,
904483,ThalesSolutions,-999.999 (7),-999.999 (7),,,,,,,,,,,
844598,Olha_Kaminska,-999.999 (7),-999.999 (7),,,,,,,,,,,
839896,wbaker23,-999.999 (7),-999.999 (7),,,,,,,,,,,
758675,Annony_Mouse,-999.999 (7),-999.999 (7),,,,,,,,,,,
684559,luca.campanella,-999.999 (7),-999.999 (7),,,,,,,,,,,
654867,rajdeep345,-999.999 (7),-999.999 (7),,,,,,,,,,,
645164,sriyash421,-999.999 (7),-999.999 (7),,,,,,,,,,,
624240,lpc,-999.999 (7),-999.999 (7),,,,,,,,,,,
618910,eunsungyoon,-999.999 (7),-999.999 (7),,,,,,,,,,,
614142,gosiazdunik,-999.999 (7),-999.999 (7),,,,,,,,,,,
586542,IbraheemTuffaha,-999.999 (7),-999.999 (7),,,,,,,,,,,
520086,yyyura,-999.999 (7),-999.999 (7),,,,,,,,,,,
519527,zimkjh,-999.999 (7),-999.999 (7),,,,,,,,,,,
519269,Seekers7,-999.999 (7),-999.999 (7),,,,,,,,,,,
515097,Zupun7,-999.999 (7),-999.999 (7),,,,,,,,,,,
512868,hammadfahim,-999.999 (7),-999.999 (7),,,,,,,,,,,
496663,Ruchira,-999.999 (7),-999.999 (7),,,,,,,,,,,
495100,TharinduGayan,-999.999 (7),-999.999 (7),,,,,,,,,,,
494852,Zupun_Ranatunge,-999.999 (7),-999.999 (7),,,,,,,,,,,
437726,CZWin32768,-999.999 (7),-999.999 (7),,,,,,,,,,,
437810,hhaddad,-999.999 (7),-999.999 (7),,,,,,,,,,,
442297,to.john.mcgonical,-999.999 (7),-999.999 (7),,,,,,,,,,,
438639,psyml,-999.999 (7),-999.999 (7),,,,,,,,,,,
437594,lanman,-999.999 (7),-999.999 (7),,,,,,,,,,,
437598,ISCLAB,-999.999 (7),-999.999 (7),,,,,,,,,,,
441651,ad26kt,-999.999 (7),-999.999 (7),,,,,,,,,,,
445038,wangmin,-999.999 (7),-999.999 (7),,,,,,,,,,,
439087,hebe,-999.999 (7),-999.999 (7),,,,,,,,,,,
439099,minok00,-999.999 (7),-999.999 (7),,,,,,,,,,,
439109,NAVEEN.J.R,-999.999 (7),-999.999 (7),,,,,,,,,,,
439145,utpalsikdar,-999.999 (7),-999.999 (7),,,,,,,,,,,
439143,danielfl,-999.999 (7),-999.999 (7),,,,,,,,,,,
439196,NAGOUDI,-999.999 (7),-999.999 (7),,,,,,,,,,,
439349,venkatesh-1729,-999.999 (7),-999.999 (7),,,,,,,,,,,
439546,mhjabreel,-999.999 (7),-999.999 (7),,,,,,,,,,,
439843,ruwanw,-999.999 (7),-999.999 (7),,,,,,,,,,,
439905,anasteam,-999.999 (7),-999.999 (7),,,,,,,,,,,
440357,dragoni,-999.999 (7),-999.999 (7),,,,,,,,,,,
440376,Habibeh,-999.999 (7),-999.999 (7),,,,,,,,,,,
440637,dmikrav,-999.999 (7),-999.999 (7),,,,,,,,,,,
460109,FrosinaStojanovska,-999.999 (7),-999.999 (7),,,,,,,,,,,
451204,prabod,-999.999 (7),-999.999 (7),,,,,,,,,,,
466305,dominikstanojevic,-999.999 (7),-999.999 (7),,,,,,,,,,,
469089,bakrianoo,-999.999 (7),-999.999 (7),,,,,,,,,,,
469166,Malak,-999.999 (7),-999.999 (7),,,,,,,,,,,
475341,nvidia,-999.999 (7),-999.999 (7),,,,,,,,,,,
submission_pk,User,Pearson (all classes),Pearson (all classes),Pearson (all classes),Pearson (all classes),Pearson (all classes),Pearson (some-emotion),Pearson (some-emotion),Pearson (some-emotion),Pearson (some-emotion),Pearson (some-emotion),Kappa  (all classes),Kappa  (all classes),Kappa  (all classes),Kappa  (all classes),Kappa  (all classes),Kappa (some-emotion),Kappa (some-emotion),Kappa (some-emotion),Kappa (some-emotion),Kappa (some-emotion)
,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness
439349,venkatesh-1729,0.717 (1),0.560 (1),0.705 (1),0.549 (1),,,,,,,,,,,,,,,,,,,,,
844598,Olha_Kaminska,0.697 (2),0.461 (5),0.664 (2),0.459 (3),,,,,,,,,,,,,,,,,,,,,
438639,psyml,0.667 (4),0.463 (4),0.643 (3),0.448 (4),,,,,,,,,,,,,,,,,,,,,
439143,danielfl,0.673 (3),0.493 (3),0.392 (11),0.304 (11),,,,,,,,,,,,,,,,,,,,,
439546,mhjabreel,0.636 (5),0.513 (2),0.632 (4),0.480 (2),,,,,,,,,,,,,,,,,,,,,
439154,jogonba2,0.605 (7),0.453 (6),0.534 (9),0.428 (5),,,,,,,,,,,,,,,,,,,,,
438767,yoyo,0.610 (6),0.439 (7),0.596 (5),0.426 (6),,,,,,,,,,,,,,,,,,,,,
445038,wangmin,0.572 (8),0.370 (11),0.559 (6),0.330 (9),,,,,,,,,,,,,,,,,,,,,
437598,ISCLAB,0.563 (9),0.420 (8),0.557 (7),0.363 (7),,,,,,,,,,,,,,,,,,,,,
437594,lanman,0.536 (11),0.378 (10),0.532 (10),0.328 (10),,,,,,,,,,,,,,,,,,,,,
439087,hebe,0.548 (10),0.420 (9),0.536 (8),0.362 (8),,,,,,,,,,,,,,,,,,,,,
439145,utpalsikdar,0.242 (13),0.187 (13),0.217 (13),0.101 (13),,,,,,,,,,,,,,,,,,,,,
440357,dragoni,0.268 (12),0.206 (12),0.262 (12),0.145 (12),,,,,,,,,,,,,,,,,,,,,
439367,Amrita_student,0.055 (14),0.012 (14),0.028 (14),0.003 (14),,,,,,,,,,,,,,,,,,,,,
439109,NAVEEN.J.R,0.000 (15),0.000 (15),0.000 (15),0.000 (15),,,,,,,,,,,,,,,,,,,,,
439459,thelonewolf190694,-0.033 (16),NaN (15),-0.001 (16),0.000 (15),,,,,,,,,,,,,,,,,,,,,
439130,AlexandraFlescan,-0.054 (17),-0.015 (16),-0.051 (17),-0.012 (16),,,,,,,,,,,,,,,,,,,,,
953666,no_name,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
934486,alvarosness,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
787552,sohaelshafey,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
904483,ThalesSolutions,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
839896,wbaker23,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
758675,Annony_Mouse,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
684559,luca.campanella,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
654867,rajdeep345,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
645164,sriyash421,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
624240,lpc,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
618910,eunsungyoon,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
614142,gosiazdunik,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
586542,IbraheemTuffaha,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
520086,yyyura,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
519527,zimkjh,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
519269,Seekers7,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
515097,Zupun7,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
512868,hammadfahim,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
496663,Ruchira,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
495100,TharinduGayan,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
494852,Zupun_Ranatunge,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
437726,CZWin32768,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
437810,hhaddad,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
442297,to.john.mcgonical,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
441651,ad26kt,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
439099,minok00,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
439196,NAGOUDI,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
439843,ruwanw,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
439905,anasteam,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
440376,Habibeh,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
440637,dmikrav,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
460109,FrosinaStojanovska,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
451204,prabod,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
466305,dominikstanojevic,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
469089,bakrianoo,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
440157,bicici,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
469166,Malak,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
475341,nvidia,-999.999 (18),-999.999 (17),-999.999 (18),-999.999 (17),,,,,,,,,,,,,,,,,,,,,
submission_pk,User,Pearson (all classes),Pearson (all classes),Pearson (all classes),Pearson (all classes),Pearson (all classes),Pearson (some-emotion),Pearson (some-emotion),Pearson (some-emotion),Pearson (some-emotion),Pearson (some-emotion),Kappa  (all classes),Kappa  (all classes),Kappa  (all classes),Kappa  (all classes),Kappa  (all classes),Kappa (some-emotion),Kappa (some-emotion),Kappa (some-emotion),Kappa (some-emotion),Kappa (some-emotion)
,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness
439546,mhjabreel,0.563 (2),0.366 (2),0.518 (2),0.279 (2),,,,,,,,,,,,,,,,,,,,,
469166,Malak,0.611 (1),0.400 (1),0.604 (1),0.356 (1),,,,,,,,,,,,,,,,,,,,,
439367,Amrita_student,0.275 (3),0.232 (3),0.252 (3),0.137 (3),,,,,,,,,,,,,,,,,,,,,
439109,NAVEEN.J.R,0.023 (5),-0.076 (5),0.008 (5),-0.012 (5),,,,,,,,,,,,,,,,,,,,,
439459,thelonewolf190694,0.099 (4),0.015 (4),0.040 (4),0.003 (4),,,,,,,,,,,,,,,,,,,,,
953666,no_name,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
934486,alvarosness,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
787552,sohaelshafey,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
904483,ThalesSolutions,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
844598,Olha_Kaminska,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
839896,wbaker23,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
758675,Annony_Mouse,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
684559,luca.campanella,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
654867,rajdeep345,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
645164,sriyash421,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
624240,lpc,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
618910,eunsungyoon,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
614142,gosiazdunik,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
586542,IbraheemTuffaha,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
520086,yyyura,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
519527,zimkjh,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
519269,Seekers7,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
515097,Zupun7,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
512868,hammadfahim,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
496663,Ruchira,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
495100,TharinduGayan,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
494852,Zupun_Ranatunge,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
437726,CZWin32768,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
437810,hhaddad,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
442297,to.john.mcgonical,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
438639,psyml,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
438767,yoyo,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
437594,lanman,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
437598,ISCLAB,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
441651,ad26kt,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
445038,wangmin,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
439087,hebe,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
439099,minok00,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
439130,AlexandraFlescan,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
439145,utpalsikdar,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
439154,jogonba2,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
439143,danielfl,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
439196,NAGOUDI,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
439349,venkatesh-1729,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
439843,ruwanw,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
439905,anasteam,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
440357,dragoni,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
440376,Habibeh,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
440637,dmikrav,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
460109,FrosinaStojanovska,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
451204,prabod,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
466305,dominikstanojevic,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
469089,bakrianoo,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
