submission_pk,User,avg_pearson,avg_spearman,anger_pearson,anger_spearman,fear_pearson,fear_spearman,joy_pearson,joy_spearman,sadness_pearson,sadness_spearman
1065659,Shub24,0.322 (32),0.308 (32),0.365 (31),0.358 (31),0.369 (32),0.311 (32),0.194 (32),0.209 (32),0.362 (30),0.353 (30),
444661,ychsing,0.294 (33),0.271 (34),0.316 (32),0.259 (32),0.281 (33),0.272 (33),0.249 (31),0.243 (31),0.330 (31),0.309 (31),
401442,ghpaetzold,0.291 (34),0.279 (33),0.277 (33),0.258 (33),0.109 (34),0.095 (34),0.517 (26),0.510 (26),0.259 (32),0.252 (32),
401294,vinayakumarr88,0.076 (35),0.071 (35),0.176 (34),0.155 (34),0.023 (35),0.011 (35),-0.019 (34),0.008 (34),0.124 (33),0.108 (33),
423243,ellfae,-0.009 (36),-0.018 (36),0.002 (35),-0.003 (35),-0.052 (36),-0.066 (36),0.022 (33),0.021 (33),-0.009 (34),-0.023 (34),
submission_pk,User,avg_pearson,avg_spearman,anger_pearson,anger_spearman,fear_pearson,fear_spearman,joy_pearson,joy_spearman,sadness_pearson,sadness_spearman
431858,mhjabreel,0.572 (1),0.550 (4),0.622 (1),0.600 (1),0.566 (5),0.519 (10),0.523 (4),0.511 (4),0.578 (3),0.570 (5),
401539,Prayas,0.571 (2),0.554 (1),0.605 (2),0.582 (2),0.621 (1),0.577 (1),0.500 (5),0.508 (5),0.557 (11),0.549 (9),
409761,vineet.john,0.566 (3),0.551 (3),0.576 (5),0.570 (4),0.558 (7),0.523 (7),0.567 (1),0.556 (1),0.561 (9),0.556 (7),
405745,EgorLakomkin,0.562 (4),0.543 (5),0.565 (7),0.545 (7),0.531 (15),0.494 (17),0.528 (3),0.531 (3),0.624 (1),0.601 (2),
436390,CZWin32768,0.561 (5),0.552 (2),0.592 (3),0.575 (3),0.599 (2),0.571 (2),0.475 (6),0.483 (7),0.578 (4),0.578 (3),
404636,sreeIN,0.559 (6),0.533 (6),0.588 (4),0.552 (6),0.569 (4),0.515 (11),0.458 (10),0.457 (9),0.623 (2),0.608 (1),
402860,venkatesh-1729,0.552 (7),0.531 (7),0.541 (12),0.519 (11),0.556 (8),0.513 (13),0.547 (2),0.538 (2),0.564 (8),0.552 (8),
403268,vlaand,0.531 (8),0.513 (9),0.567 (6),0.540 (8),0.566 (6),0.529 (6),0.426 (12),0.412 (15),0.564 (7),0.572 (4),
863813,Synapse,0.522 (9),0.496 (14),0.548 (9),0.511 (14),0.549 (12),0.514 (12),0.416 (13),0.416 (13),0.573 (5),0.545 (10),
863837,dhruv002,0.522 (9),0.496 (14),0.548 (9),0.511 (14),0.549 (12),0.514 (12),0.416 (13),0.416 (13),0.573 (5),0.545 (10),
426891,Yunqi,0.521 (10),0.507 (10),0.559 (8),0.553 (5),0.502 (19),0.498 (16),0.467 (9),0.443 (10),0.556 (12),0.534 (13),
406304,hardik.meisheri,0.521 (11),0.518 (8),0.541 (11),0.535 (9),0.542 (13),0.520 (9),0.471 (8),0.488 (6),0.530 (14),0.529 (14),
401786,YZU-NLP,0.516 (12),0.500 (13),0.544 (10),0.528 (10),0.552 (10),0.520 (8),0.471 (7),0.460 (8),0.495 (18),0.493 (19),
400815,Emkay,0.514 (13),0.503 (11),0.519 (15),0.509 (15),0.552 (9),0.534 (4),0.415 (14),0.413 (14),0.570 (6),0.556 (6),
861517,navjots121,0.513 (14),0.502 (12),0.517 (17),0.508 (16),0.551 (11),0.532 (5),0.415 (14),0.413 (14),0.570 (6),0.556 (6),
401601,IITP,0.505 (15),0.491 (15),0.525 (14),0.512 (13),0.575 (3),0.549 (3),0.406 (16),0.404 (16),0.513 (17),0.500 (18),
401531,HPCC,0.500 (16),0.480 (17),0.530 (13),0.517 (12),0.540 (14),0.498 (15),0.406 (17),0.397 (17),0.526 (15),0.507 (16),
425865,kamal_nayan,0.481 (17),0.487 (16),0.483 (21),0.465 (21),0.507 (17),0.502 (14),0.408 (15),0.440 (11),0.526 (16),0.539 (11),
1042781,Sharanya,0.479 (18),0.452 (18),0.510 (19),0.475 (18),0.476 (23),0.432 (23),0.370 (20),0.363 (21),0.559 (10),0.537 (12),
879985,harshhii,0.479 (18),0.452 (18),0.510 (19),0.475 (18),0.476 (23),0.432 (23),0.370 (20),0.363 (21),0.559 (10),0.537 (12),
404838,felipebravom,0.477 (19),0.442 (21),0.517 (16),0.470 (20),0.503 (18),0.462 (20),0.398 (18),0.373 (19),0.490 (19),0.466 (21),
421941,AK,0.467 (20),0.440 (22),0.512 (18),0.475 (19),0.472 (25),0.423 (25),0.351 (24),0.348 (23),0.536 (13),0.515 (15),
423472,zibakh,0.467 (20),0.440 (22),0.512 (18),0.475 (19),0.472 (25),0.423 (25),0.351 (24),0.348 (23),0.536 (13),0.515 (15),
426665,Charles.Chen,0.465 (21),0.447 (19),0.473 (22),0.454 (22),0.471 (26),0.450 (21),0.439 (11),0.420 (12),0.478 (21),0.467 (20),
401641,Brun,0.450 (22),0.443 (20),0.506 (20),0.500 (17),0.507 (16),0.476 (18),0.357 (23),0.365 (20),0.430 (24),0.431 (23),
401311,dbusca,0.446 (23),0.438 (23),0.435 (24),0.439 (23),0.496 (20),0.463 (19),0.366 (21),0.347 (24),0.489 (20),0.503 (17),
400383,kakachaguan,0.432 (24),0.405 (24),0.456 (23),0.419 (24),0.483 (22),0.419 (26),0.329 (26),0.329 (25),0.462 (22),0.454 (22),
880856,allurijairam,0.404 (25),0.385 (25),0.430 (25),0.408 (25),0.475 (24),0.428 (24),0.281 (27),0.279 (27),0.431 (23),0.424 (25),
401091,epochx,0.387 (26),0.366 (26),0.350 (28),0.325 (28),0.484 (21),0.445 (22),0.362 (22),0.362 (22),0.351 (28),0.332 (28),
401103,hkh,0.373 (27),0.363 (27),0.386 (26),0.380 (26),0.390 (28),0.380 (28),0.330 (25),0.320 (26),0.387 (27),0.371 (27),
400503,gnem,0.347 (28),0.331 (28),0.275 (31),0.261 (31),0.441 (27),0.417 (27),0.242 (28),0.222 (28),0.428 (25),0.424 (24),
401266,heukirne,0.313 (29),0.284 (29),0.361 (27),0.326 (27),0.315 (30),0.278 (31),0.155 (29),0.150 (29),0.424 (26),0.382 (26),
444661,ychsing,0.266 (30),0.246 (31),0.271 (32),0.238 (32),0.328 (29),0.288 (30),0.132 (31),0.136 (31),0.333 (30),0.322 (30),
406079,amouma,0.264 (31),0.261 (30),0.276 (30),0.285 (29),0.293 (31),0.290 (29),0.143 (30),0.144 (30),0.343 (29),0.326 (29),
1065659,Shub24,0.223 (32),0.189 (33),0.282 (29),0.262 (30),0.270 (32),0.178 (32),0.113 (32),0.093 (32),0.227 (32),0.222 (33),
401442,ghpaetzold,0.220 (33),0.218 (32),0.188 (34),0.178 (33),0.095 (33),0.081 (33),0.396 (19),0.377 (18),0.202 (33),0.237 (32),
401294,vinayakumarr88,0.140 (34),0.134 (34),0.190 (33),0.164 (34),0.077 (34),0.061 (34),0.057 (33),0.071 (33),0.235 (31),0.238 (31),
423243,ellfae,0.001 (35),-0.012 (35),0.019 (35),-0.016 (35),-0.029 (35),-0.043 (35),0.051 (34),0.057 (34),-0.039 (34),-0.047 (34),
