submission_pk,User,Micro_F1,Micro_Precision,Micro_Recall,Macro_F1,Macro_Precision,Macro_Recall
912869,FancyZheng,67.00 (43),67.32 (13),66.68 (50),58.18 (31),61.94 (12),59.20 (41),
733777,ljw,66.40 (44),66.77 (18),66.05 (53),52.94 (57),59.97 (24),51.49 (58),
913740,maven_explorer,66.28 (45),62.24 (54),70.87 (28),60.00 (19),57.33 (50),64.28 (11),
968755,boweciv542shzseducom,66.05 (46),63.19 (49),69.19 (39),55.24 (52),56.46 (53),56.95 (53),
767667,wzq016,65.30 (47),64.62 (36),66.00 (54),54.59 (55),58.41 (41),55.62 (55),
812664,weipeng,65.09 (48),62.53 (53),67.86 (45),55.03 (53),56.17 (56),58.62 (46),
830317,liangxin,64.98 (49),63.51 (47),66.52 (51),57.99 (34),59.79 (27),58.20 (50),
829513,fishboy,64.97 (50),61.59 (58),68.74 (42),58.05 (33),58.76 (36),59.60 (36),
850258,junnyu,64.92 (51),61.35 (59),68.92 (41),57.89 (37),58.14 (44),59.99 (33),
865024,hannahweo,64.31 (52),63.88 (44),64.74 (56),57.55 (42),60.52 (19),58.60 (47),
913396,yyds209,64.08 (53),61.86 (56),66.47 (52),57.76 (38),59.04 (33),59.53 (38),
983105,nlpstarter,64.08 (54),61.65 (57),66.70 (49),58.13 (32),57.26 (51),60.73 (30),
775291,jiangwy,64.01 (55),62.99 (50),65.06 (55),56.81 (45),57.70 (48),58.96 (44),
904470,oiteam,63.58 (56),63.61 (46),63.56 (57),56.60 (46),56.90 (52),59.27 (40),
913240,exp_moganed,63.51 (57),65.31 (30),61.81 (58),53.95 (56),59.83 (26),52.98 (57),
1098428,siyu7788,60.17 (58),66.21 (24),55.14 (59),27.97 (59),35.83 (59),26.80 (60),
762887,fajita,58.74 (59),70.00 (3),50.60 (60),43.66 (58),59.78 (28),36.97 (59),
912882,DMcoders,25.22 (60),15.00 (60),79.27 (1),22.16 (60),13.76 (60),70.65 (1),
918618,Gonbei,9.26 (61),6.24 (61),17.93 (61),1.18 (61),0.72 (61),4.01 (61),
